,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,red,object,weapon,bird,vehicle,food,all,mean
fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009805452699421112,0.0,0.0010608863916560967,0.0,0.0,0.0,0.0,0.0010904336219756444,0.00020879101890492347
squirrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019261852555252483,0.0,0.0,0.0,0.0,0.0019832681466489532,0.0002606302268116134
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005902855615925861,0.0,0.0,0.0,0.0,0.0006063446189762114,7.977534537125316e-05
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.0013653113288232762,0.0,0.0,0.0,0.0012266733846091908,0.0,0.0,0.0,0.0,0.000980687295888549,0.0,0.0,0.0,0.0,0.0010321496593971502,0.0003069881112478777
chicken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
magpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.0,0.012277166720973185,0.01184306468730135,0.0,0.0,0.0,0.0,0.0,0.0,0.013420331327194904,0.0,0.0,0.0,0.01287211346488182,0.014180699463890556,0.004306225044282787
fruit,0.0,0.008430694499424041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009680137779656447,0.0,0.0,0.0,0.0,0.01000929974320652,0.0018746754681524672
berry,0.0,0.004045919368251491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005280889153701461,0.0,0.0,0.0,0.0046658694298074375,0.005626053032042841,0.0013079153989202154
currant,0.0,0.006706808707252645,0.006417936759666137,0.0,0.0,0.0,0.0,0.0,0.0,0.006721982907534519,0.0,0.0,0.0,0.006498525212735315,0.0067605546281143845,0.0022070538810202
pomegranate,0.0,0.05416175715822261,0.05532952598978525,0.0,0.0,0.0,0.0,0.0,0.0,0.06915531432863818,0.0,0.0,0.0,0.05840108366639001,0.06987595337784443,0.02046157563472537
