,mammal,animal,no-cat,bird,reptile,all,communication,relation,fish,object,food,plant,measure,vehicle,mean
vervet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puppy,0.0,0.001182925880452337,0.0,0.0,0.0,0.0011865299499311112,0.0,0.0,0.0,0.001182925880452337,0.0,0.0,0.0,0.0,0.00025374155077398467
seal,0.006143451796639952,0.005475526896708201,0.0,0.0,0.0,0.005469634308568495,0.004509446888690935,0.005390382644658319,0.0,0.005475526896708201,0.0,0.0,0.0,0.0,0.0023188549594267216
basset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rodent,0.0,0.0007767988122048467,0.0,0.0,0.0,0.0007785865780585759,0.0,0.0,0.0,0.0007767988122048467,0.0,0.0,0.0,0.0,0.00016658458589059066
goat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bulldog,0.012943039108029988,0.01258687591511501,0.0,0.0,0.0,0.012581768535936892,0.0,0.0,0.0,0.01258687591511501,0.0,0.0,0.0,0.0,0.00362132567672835
bloodhound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,0.008556436589276873,0.007521276869525545,0.0,0.0,0.0,0.007520619425347149,0.0,0.0,0.0,0.007521276869525545,0.0,0.0,0.0,0.0,0.002222829268119651
glutton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otter,0.005755411510068912,0.005289329356539269,0.0,0.0,0.0,0.005290539274453493,0.0,0.005344699184747236,0.0,0.005289329356539269,0.0,0.0,0.0,0.0,0.0019263791915962987
cat,0.0,0.0015248320594718184,0.0012249092358424102,0.0,0.0,0.001521724663916478,0.0,0.0,0.0,0.0015248320594718184,0.0,0.0,0.0,0.001241019211734533,0.0005026655164597899
mouse,0.00161720433680269,0.0014795472606779225,0.0,0.0,0.0,0.0014778491276113159,0.0,0.0,0.0,0.0014795472606779225,0.0,0.0,0.0,0.0,0.0004324391418407037
fawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wolf,0.0,0.000596022982845851,0.0,0.0,0.0,0.000595445642418364,0.0,0.0,0.0,0.000596022982845851,0.0,0.0,0.0,0.0,0.00012767797200786184
lynx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
painter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
armadillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottlenose,0.005789058011516387,0.005363285978184396,0.0,0.0,0.0,0.005369037593107919,0.0,0.0,0.0,0.005363285978184396,0.0,0.0,0.0,0.0,0.0015631905400709356
toy,0.0,0.0007820015813348286,0.0,0.0,0.0,0.0007811267986532627,0.0,0.0,0.0,0.0007820015813348286,0.0,0.0,0.0,0.0,0.00016750928295163715
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pony,0.015118328659412594,0.013822891243511755,0.0,0.0,0.0,0.01381042062820026,0.011512828648304363,0.0,0.0,0.013822891243511755,0.0,0.0,0.0,0.0,0.0048633828873529085
mammal,0.0029962321248871954,0.00285934000863452,0.0,0.0,0.0,0.0028742814021428366,0.0,0.0,0.0,0.00285934000863452,0.0,0.0,0.0,0.0,0.0008277995388785051
gnu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panther,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reindeer,0.0,0.0015563387151936155,0.0,0.0,0.0,0.0015574089978652777,0.0,0.0,0.0,0.0015563387151936155,0.0,0.0,0.0,0.0,0.00033357760201803633
mankind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hippo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leopard,0.0,0.0011269349187339249,0.0,0.0,0.0,0.001124514221531203,0.0,0.0010292500290366255,0.0,0.0011269349187339249,0.0,0.0,0.0,0.0,0.0003148310062882627
beaver,0.0,0.0007661486515953981,0.0,0.0,0.0,0.0007651733875687726,0.0,0.0007269421721829583,0.0,0.0007661486515953981,0.0,0.0,0.0,0.0,0.00021602949021018051
