,prop-specific,non-specific,p,l,n,i,r,b,u
square,-0.679849164015619,0.02725958771793502,-0.6926818740248348,0.0,0.0,0.04298148134334867,0.11759814137508268,0.0,-0.03149633081062464
warm,-0.23397339466195421,-0.12344417154921317,-0.26033055508849356,0.4347874224272821,0.4895571905778859,-0.10106740070367481,-0.10795645289323047,0.0,-0.08797666279943783
black,-0.024997229647485186,-0.03652428447597844,0.05840682713300782,0.5586151675784251,0.0,-0.014801561087298798,-0.023383298362811,0.0,0.018122625434603967
red,0.058168771721617274,-0.06149986945733721,0.045336061712401454,0.0,0.0,-0.048349258646927795,0.03447269799040359,0.0,-0.011247094850482475
fly,0.14193084523687804,0.13071402358294548,0.1555961467681486,0.7569880674584466,0.79237582359768,0.19118188343723552,0.1577708399393291,0.6266041836101609,0.1305039991692153
dangerous,-0.06138574826422116,0.052637087355401624,-0.06172239135360924,0.5732154658261204,0.7053890107677159,0.08692983866128423,0.07597279818416985,0.5714428647711449,2.9718115686638846e-05
wings,-0.06385502231254059,-0.07760459600154573,-0.0138701661854721,0.5908671152485646,0.0,-0.01754209164186271,-0.05524103543719239,0.41797378718124173,-0.06624500842164172
sweet,0.03835081746821378,0.1433568000819928,0.025518107458997963,0.0,0.0,0.16085141933317992,-0.48813259366957834,0.0,0.07136628789043664
hot,0.011226043474239167,0.015847559024752655,-0.0017600367183771004,0.0,0.6913819478566593,0.006347408202331595,0.10907755415493875,0.0,-0.005005443636276918
used_in_cooking,0.08317003729440164,0.11217110067343805,0.06042490284608315,0.8508739693285076,0.6978863651271086,0.11773609984345745,0.16075176306240863,0.0,0.10653963486100604
juicy,0.051915375312895695,-0.017477661561980162,0.039082665303679875,0.0,0.0,-0.006526045553225057,0.0669066443946213,0.0,-2.9718115686583335e-05
green,0.10243872166564916,-0.015847559024752544,0.08960601165643334,0.0,0.0,-0.006347408202331539,0.09893439455309999,0.0,0.01738876240395215
made_of_wood,-0.033954471493118143,-0.10830615946222505,-0.04678718150233396,0.0,0.0,-0.0975527193704383,-0.06817830746225678,0.0,-0.0956490892025455
blue,0.014592746727592809,0.08550859900781738,0.0017600367183769894,0.0,0.0,0.09873363378712552,0.18068789109713396,0.0,0.13623541755244906
yellow,0.09733023125992535,0.21105411994415446,0.08449752125070953,0.0,0.0,0.22854873919534158,-0.48813259366957834,0.0,0.16796437692168464
roll,-0.11545116764917318,-0.08463390691331435,-0.06615640678632773,0.5022705254943844,0.0,-0.06026681870741302,-0.06419159434677407,0.0,0.0019396300493699226
female,-0.011226043474239278,0.15323132611861268,-0.6926818740248348,0.6686231205413797,0.0,0.24476548160664702,-0.48813259366957834,0.6027084428095119,0.012213584618852857
cold,-0.07595472993702923,-0.08441367195837612,-0.10546653574895204,0.0,0.6072302532391312,-0.04088156106854668,-0.11480853894519932,0.0,-0.012729457158663249
round,-0.18946701598315296,-0.07637788331607148,-0.16239677435027866,0.4504791963903759,0.0,-0.05647146042067519,-0.0868180932978781,0.0,-0.017942439397822696
wheels,0.025385959926378154,0.035545543564568516,0.06376721629934223,0.6540211575598173,0.0,0.13716054762947005,0.023383298362811,0.0,-0.03753866800458522
lay_eggs,0.13979376096063922,0.17813588467486507,0.1269610509514234,0.0,0.0,0.18453355813426742,0.2325432795760926,0.0,0.14839958101524597
swim,-0.25068574352368034,-0.07378157789015294,-0.26351845353289616,0.0,0.0,-0.03013254583517805,-0.04626955704359009,0.0,-0.05872941027368067
median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
median-reference,0.679849164015619,0.5235166529277464,0.6926818740248348,0.0,0.0,0.5060220336765593,0.48813259366957834,0.0,0.4683842313388431
