,prop-specific,non-specific
square,-0.2861532221237818,0.0070711922651924275
warm,-0.014739147077004078,-0.028255815149233893
black,-0.13350757459799445,-0.03556083503674537
red,-0.2861532221237818,-0.02740006822629601
fly,0.0604227079699437,-0.03366464821228132
dangerous,-0.047270715211509495,-0.03338750232508925
wings,0.10548301360436851,-0.0070711922651924
sweet,0.18209970494111383,0.15434150039199057
hot,-0.006780450542767824,0.04866188020110493
used_in_cooking,0.09880170403491889,0.07142709918177181
juicy,0.35163888831933343,0.13104379875883498
green,-0.2861532221237818,0.040084638615751456
made_of_wood,0.15521267553170526,-0.029797116107188604
blue,0.00678045054276788,-0.037069121288841905
yellow,-0.2861532221237818,0.11118958331434603
roll,-0.0785971520675553,-0.018045937123301187
female,0.2936871598164241,0.10651232662909083
cold,0.05061319867769881,-0.02320096663260604
round,-0.16171097258726752,0.05071253356290001
wheels,0.09945635497570043,0.049552539407231144
lay_eggs,0.5440660466750463,0.11836345173339302
swim,-0.2861532221237818,-0.036588663168018676
median,0.0,0.0
median-reference,0.2861532221237818,0.1667908982705208
