,prop-specific,non-specific,p,l,n,i,r,b,u
square,-0.0053197374026970595,-0.03328524938936566,-0.0019107553575992116,0.0,0.0,-0.01059986756781351,-0.01299803539827835,0.0,0.036292962356792136
warm,-0.0010482613704236848,-0.022682294699325367,-1.2321565477711781e-05,0.0014238253440911248,0.0009492168960607499,-0.00910851150039891,-0.0038864367756526533,0.0,0.021418531634478377
black,-0.003579093364402891,-0.027970729825637718,-0.0010404333384521273,0.0008703220191470844,0.0,-0.01178845894236677,-0.006494924459997144,0.0,0.02923779875476995
red,-0.004753806446273743,-0.022075000018512307,-0.0013448244011758951,0.0,0.0,-0.0014554167014575042,-0.010932236893781005,0.0,0.02451678202951546
fly,0.004134044109907982,-0.03172079381990383,0.00439176565080415,0.0021008403361344537,0.0010504201680672268,-0.04341991047859484,0.018235202577763135,0.0031512605042016808,0.025274725274725185
dangerous,0.01532658216642323,0.022904826625760974,-0.00011542322115396918,0.012567324955116697,0.0062836624775583485,-0.012325964821337326,0.03953214146103637,0.005385996409335727,-0.040543433227454795
wings,0.007180262597302941,0.06701870197841549,0.0016606732138293597,0.008928571428571428,0.0,-0.00360898610884694,0.05352932022482195,0.026785714285714284,-0.07651098901098907
sweet,0.05182311974016008,0.46701870197841544,0.05523210178525793,0.0,0.0,0.49103387103401014,-0.014327822632320903,0.0,-0.5211538461538462
hot,0.03039454831158865,0.18606632102603454,0.021898768451924597,0.0,0.011904761904761904,0.12674815674829593,0.06900551070101242,0.0,-0.21877289377289388
used_in_cooking,0.008666276583316927,0.5552804402401538,0.005082251635407781,0.0034965034965034965,0.0034965034965034965,0.27684805684819597,0.28811972981523154,0.0,-0.5662587412587413
juicy,-0.0028506016002279237,0.04761834924472942,0.0005583804448699241,0.0,0.0,0.05681870348550932,0.00048699218249391267,0.0,-0.0470797720797721
green,-0.0035896335964686857,0.08852142071296813,-0.00018065155137083786,0.0,0.0,0.09869575931873587,-0.00048699218249391267,0.0,-0.08724381155177008
made_of_wood,-0.00023067887852403109,-0.017314267850737537,0.0031783031665738168,0.0,0.0,-0.027650243833310773,0.02002332240584704,0.0,0.01523292229399098
blue,-0.00442448225497996,-0.0010846360443495656,-0.0010155002098821123,0.0,0.0,0.01845425727265964,-0.009851546893735406,0.0,0.003197093864058864
yellow,0.013911031828072172,-0.018146133186419666,0.01732001387317002,0.0,0.0,0.005869035869175039,-0.014327822632320903,0.0,0.0019230769230769162
roll,-0.0027457348286944855,-0.040059805100091585,-0.0006237540705979247,0.001287001287001287,0.0,-0.027370247370108205,-0.0030022113067095773,0.0,0.04049351549351543
female,0.061346929263969605,0.23527267023238374,-0.0019107553575992116,0.06666666666666667,0.0,0.10373228373242291,-0.014327822632320903,0.15555555555555556,-0.298931623931624
cold,0.00023067887852403195,-0.013858792405091837,-0.0009856859773956963,0.0,0.004625346901017576,-0.007419941573363925,0.0032484955915458875,0.0,0.011316089091297221
round,-0.001473583556543213,0.0010846360443495656,1.2321565477711564e-05,0.0019230769230769232,0.0,0.021253651253790425,-0.010481668786167056,0.0,-0.0019230769230770273
wheels,0.011073705220253761,0.07170254272783001,0.006285965953876199,0.00819672131147541,0.0,0.0014554167014575042,0.0799344724496463,0.0,-0.08508827238335437
lay_eggs,0.021707289624329967,0.1944318293915429,0.025116271669427818,0.0,0.0,0.12385240385254304,0.08026677196227369,0.0,-0.21845114345114347
swim,-0.004595624441075047,-0.03746045391276067,-0.0011866423959771986,0.0,0.0,-0.0431339162836685,0.015360808794181632,0.0,0.03974405391856506
median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
median-reference,0.0053197374026970595,0.07583844087872736,0.0019107553575992116,0.0,0.0,0.051823271823132656,0.014327822632320903,0.0,0.9211538461538462
