,prop-specific,non-specific,p,l,n,i,r,b,u
square,,0.12978127981502674,,,,0.13023353233222568,0.02525242202149247,,0.1774223064206335
warm,-0.04622226486600389,-0.11280592170695958,-0.14622244204073553,-0.1618577047017764,-0.013791752571673532,-0.13405430820551367,-0.04742189392105356,,-0.057070031541194055
black,-0.04229278258686198,-0.0844967803508121,-0.043447318595646545,-0.11248960136143371,,-0.08404452783361316,-0.06338617378412803,,-0.05079061886998637
red,0.002309072017569247,-0.10840939878287204,0.001154536008784679,,,-0.1079571462656731,-0.11499525162370872,,0.040914369912696924
fly,0.10803673233581146,0.037305321510381795,0.10688219632702689,-0.0011517358496678787,0.051434110289064416,0.005464413527446643,0.10268934929628781,-0.0021687775041610013,0.1774223064206335
dangerous,0.04771836364717574,0.043441544329983484,0.046563827638391175,0.0011517358496678787,0.06523156220421711,0.04389379684718242,0.07685364855028143,-0.003710972698654391,0.0390624037300048
wings,0.060378613244795654,0.024922081270802865,0.059224077236011086,0.03159369728402961,,0.0253743337880018,0.04375725807421482,0.0021687775041608903,-0.03558083808133694
sweet,0.096686226348631,0.052035601419035626,0.09553169033984643,,,0.05248785393623456,,,-0.08701787585175313
hot,-0.015073370904201688,-0.08502831543157952,-0.016227906912986256,,-0.07210293727539852,-0.12351071203192798,-0.019644287645673497,,-0.08982858797525273
used_in_cooking,0.13813350173745886,0.13205073463557881,0.1369789657286743,0.14198212109908515,-0.05469051360009192,0.13250298715277775,0.1924235226749137,,0.054155165902436964
juicy,0.0,0.01148400541057204,-0.001154536008784568,,,0.011936257927770977,0.03355643309853784,,-0.011305175057667927
green,0.06530396615709166,-0.041749477883068487,0.0641494301483071,,,-0.04129722536586955,-0.0007823735200556126,,-0.035509437537442956
made_of_wood,0.017602580716550298,-0.08581972880278976,0.01644804470776573,,,-0.08536747628559083,-0.06487815113639073,,-0.029829803624164875
blue,-0.025874285645770767,-0.00591666604464558,-0.027028821654555335,,,-0.005464413527446643,-0.006488737834363545,,0.08495921395754102
yellow,-0.002535251742584621,-0.04762970888347162,-0.003689787751369189,,,-0.047177456366272685,,,-0.0071126842548564495
roll,-0.006282442262469101,-0.022816357373646734,-0.019492613269330605,0.01487151881065496,,-0.03368884305787245,0.042567670412259284,,0.07025345170680741
female,-0.09780824078789108,0.03435308301621054,,-0.07665427971476702,,0.034805335533409476,,0.058751582457702844,-0.05327747987158116
cold,-0.018638759722656828,-0.08817026810479667,-0.08895412256405144,,0.013791752571673532,-0.08771801558759773,-0.07675461281447016,,0.07547412177348933
round,-0.11162877698942342,-0.03934099319131057,-0.11278331299820799,-0.27590238827402164,,-0.03888874067411163,-0.1429443524680727,,0.02393792165488573
wheels,0.05048134598079035,0.07486749995672981,0.04932680997200578,0.002532434914230497,,0.029989473445815484,0.14025152774263583,,0.0071126842548564495
lay_eggs,0.05044253858624104,0.03278941845503347,0.04928800257745647,,,0.03324167097223241,0.0318426399486359,,-0.02535946757221208
swim,-0.12007203199051952,0.00591666604464558,-0.12122656799930409,,,0.0063689185618445165,0.0,,0.10334823234655954
median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
median-reference,0.7927112216958616,0.8164120880061532,0.7938657577046462,0.7715572606227376,0.7602807094015313,0.8159598354889542,0.7510280602202472,0.729454285336808,0.8225776935793665
