,prop-specific,non-specific,p,l,n,i,r,b,u
square,,0.0030980801838176794,,,,0.0015554717564391744,-0.002048067734314106,,0.000307018488488828
warm,-0.008694738681444074,-0.0014954282688156633,-0.012361784148520065,-0.004656194575174559,-0.0006376613576812382,-0.003508060883404146,0.0018962459058019842,,-0.0004033093918258176
black,-0.0027073942429606205,-0.004216466198240426,0.0022658664535025914,-0.006622403373837307,,-0.005800453819432436,-0.002786918349185712,,-0.00044601878449936506
red,0.020160225392003427,-0.0038188558642542076,0.016845001926628866,,,-0.005627564734877416,-0.001043635160409298,,-0.001022722723437855
fly,-0.002425873839020709,-0.004101948695035797,-0.004556017524032587,0.0010424799126794657,-0.0008750730293523613,-0.003042175133514519,-0.002134169630972135,-0.0020466192738034968,-0.000962339345379161
dangerous,-0.00804724215736759,-0.0015530020808918413,-0.013610518691017185,-0.004832186685351982,0.0017629347704959872,-0.001746635023794324,0.0,0.00038119134404739725,-0.00013787007193993448
wings,-0.0029218524260333605,0.000561929094332175,-0.0060502524058020455,0.0013768932106853742,,0.0019647161639543987,0.0028837882305341907,-0.0003811913440473968,-0.0001535960860705515
sweet,0.0,0.007526269070389379,-0.003315223465374559,,,0.005737833093700762,,,2.561962259481354e-05
hot,0.013344528813322246,0.00640074227294429,0.014735389179546879,,0.010783398083446468,0.007482179014382988,0.00272552113029614,,0.0023293584197468216
used_in_cooking,0.0031963568422016513,0.006181220335689654,0.004413374080466305,0.011230411759224106,-0.002677667517815535,0.007952663994205673,0.004787186726989573,,-2.561962259481354e-05
juicy,0.03903463453184721,0.0038685287404587095,0.03571941106647265,,,0.0023242735080040884,0.004552376059891205,,0.0007943082114965608
green,0.009289385350881306,-0.00035283911746265134,0.0059741618855067465,,,-0.002030585302900633,0.0009179155131684956,,0.0001294621713412423
made_of_wood,0.0053431389513751894,-0.0016403836681369499,0.0020279154860006303,,,-0.0014259694409449082,-0.000575290664089673,,-0.0007486030931791502
blue,0.0012873079793739271,-0.004608161613518907,-0.002027915486000632,,,-0.006576666708946367,0.000693429661162745,,-0.0006187677402637532
yellow,0.01464733612453766,0.0030503741737375606,0.011332112659163101,,,0.0012619381970489438,,,0.0012260339870330851
roll,-0.0067351243783444915,-0.0032875319982551858,-0.012313755278872664,-9.824191222979235e-05,,-0.005407947956010596,-9.625092865187847e-05,,-0.00047026939108125174
female,-0.004809852836572806,0.009339581133259762,,-0.0004363778056117214,,0.01503908865360208,,0.006266013013033292,0.0011996639771413272
cold,-0.0051356436009326965,-0.0009834235461763192,-0.0030622071927638526,,0.0006376613576812382,-0.001977866180077518,-0.0005147953543153507,,0.0006393212751415593
round,-0.007978571826364987,0.00035283911746265134,-0.015098519926998889,0.00019962783985544123,,-0.0012619381970489438,-0.0004721693534189553,,0.0002505271372147573
wheels,0.001801281649411875,0.008776898296480111,0.004562572952180481,9.824191222979409e-05,,0.008884563564830637,0.010179695007591978,,0.0011609692493595664
lay_eggs,0.015290016820232217,0.010480334996928858,0.011974793354857658,,,0.009749538442928007,0.01099065360813342,,0.0037672873890782907
swim,-0.008337357988832627,-0.0010265846172614066,-0.011652581454207186,,,0.004458337933256487,-0.0006808663684010081,,-0.0009864493629342763
median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
median-reference,0.013077442081141007,0.007889064896603714,0.016392665546515566,0.008703967050179923,0.00622640514781839,0.009677500873292331,0.005414558786121898,0.00347468951979925,0.0029841136015099877
