,prop-specific,non-specific,p,l,n,i,r,b,u
square,,0.02148676171735693,,,,0.02899405149842671,-0.013654866599605525,,0.034282848792309265
warm,-0.012673992836092619,0.021212635708874703,-0.013109900044215637,-0.007675298708919876,-0.0021744362218096757,0.006511633861796394,0.04544882382527507,,0.03183818008440448
black,-0.0037082954320041515,-0.025924468162098285,-0.00414420264012717,-0.011007594425083606,,-0.018417178381028507,-0.011135127836238256,,0.009285596672040347
red,0.010870840041122123,-0.006229370558921102,0.010434932832999105,,,0.0012779192221486768,-0.0075499443418320985,,-0.0002976336384165057
fly,-0.0014238757334893541,-0.02315047027021426,-0.0018597829416123722,0.004520533463702247,-0.003685449921282102,-0.01564318048914448,-0.0047724397302593875,-0.004164178747332331,0.0004531866260667691
dangerous,-0.006067692164193211,-0.011621686425083752,-0.018780583969002805,-0.0016940858565467065,0.0072623532280809665,-0.004114396644013973,0.0030268046540517547,-0.0003092588462374028,-0.0006889465978906287
wings,-0.007313489170165157,0.016661390375090984,-0.008940254027369188,0.00196418016043093,,-0.0027202524959921426,0.04089757849149135,0.0003092588462374037,0.04198673399914697
sweet,0.0008718144162460362,-0.0015776322066040072,0.0004359072081230181,,,0.0059296575744657715,,,-0.024490876152907796
hot,0.01049591204820528,0.004736106523595719,0.010060004840082262,,0.007973021191516723,0.012243396304665498,-0.0011421653446435191,,-0.014285478123662987
used_in_cooking,0.012536646806763401,0.062292955673998174,0.012100739598640383,0.013434908563658945,-0.005436632100754653,0.06980024545506795,0.027511557541254877,,-0.008588509167441121
juicy,0.07244164208906188,0.004260193126374524,0.07200573488093887,,,0.011767482907444303,0.004728907680902627,,0.035758808233645384
green,0.0,0.008858341905404785,-0.0004359072081230181,,,0.016365631686474563,0.0,,-0.0070494938742935165
made_of_wood,0.010017440801396122,-0.020298223632627836,0.009581533593273104,,,-0.012790933851558058,-0.0014778887305467274,,-0.0011332185316556935
blue,0.003279920021487276,-0.020366393017829148,0.002844012813364258,,,-0.01285910323675937,-0.005987709645300151,,0.010966451762729437
yellow,0.005357950773656379,-0.018527765551970173,0.004922043565533361,,,-0.011020475770900394,,,-0.012414943037452743
roll,-0.0037491414919224794,-0.020786325292981286,-0.016882502001007667,0.005528527838673608,,-0.01371455884876581,0.0034498628234190844,,0.03050326488428133
female,-0.007583583474049381,0.017635215058473847,,0.0016940858565467065,,0.025142504839543625,,0.010656368761394489,-0.010152998472811474
cold,-0.009036369078270597,-0.008785209003218462,-0.009472276286393615,,0.0021744362218096766,-0.0012779192221486838,-0.000856151845579637,,0.024625087994119353
round,-0.013463232541986945,-0.013465183757454237,-0.02150858902062865,-0.004185563211390858,,-0.005957893976384458,-0.009805367597518766,,0.0076917991928864005
wheels,0.005171897564099536,0.03369652851634161,0.004735990355976518,-0.0028692297670246565,,-0.0021313730498868297,0.05793271663274198,,-0.0013411156584221297
lay_eggs,0.011031886823952137,0.002544811549850187,0.010595979615829119,,,0.010052101330919966,0.01617147364982344,,0.00029763363841650223
swim,-0.01762674333971393,0.0015776322066040072,-0.01806265054783695,,,0.009084921987673786,0.0059180824028112755,,-0.0020291489591442897
median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
median-reference,0.02236682743202231,0.041353939432963144,0.022802734640145327,0.013089158101426222,0.009036782039748132,0.033846649651893365,0.017117751316562773,0.006400869840177927,0.03068512840698462
