,context,n_concepts,mean_tfidf,mean_diff,evidence
0,name,8,0.01,0.0,-
1,mascot,8,0.03,0.03,-
2,ep,8,0.01,0.01,-
3,number,7,0.0,0.0,-
4,extant,7,0.01,0.01,-
5,variants,7,0.01,0.0,-
6,looks,7,0.0,0.0,-
7,four,7,0.01,0.0,-
8,no,7,0.01,0.0,-
9,housed,7,0.0,0.0,-
10,resident,7,0.0,0.0,-
11,killing,7,0.01,0.01,-
12,1977,7,0.0,0.0,-
13,1990,7,0.0,0.0,-
14,only,7,0.01,0.0,-
15,african,7,0.04,0.04,-
16,than,7,0.01,0.0,-
17,exhibited,7,0.0,0.0,-
18,kill,7,0.01,0.0,-
19,novel,7,0.01,0.0,-
20,yellow,3,0.02,0.01,-
