,context,n_concepts,mean_tfidf,mean_diff,evidence
0,aircraft,8,0.08,0.07,-
1,cabin,8,0.02,0.02,-
2,fly,8,0.04,0.04,-
3,experimental,8,0.03,0.03,-
4,fuel,8,0.03,0.02,-
5,flown,8,0.05,0.05,-
6,longest,8,0.01,0.01,-
7,berlin,8,0.01,0.01,-
8,demonstrate,8,0.01,0.01,-
9,first,8,0.02,0.02,-
10,flying,8,0.05,0.04,-
11,failure,8,0.01,0.01,-
12,lt,7,0.01,0.01,-
13,austrian,7,0.0,0.0,-
14,safely,7,0.01,0.01,-
15,soviet,7,0.01,0.01,-
16,carrier,7,0.02,0.02,-
17,operational,7,0.02,0.01,-
18,plane,7,0.05,0.05,-
19,ultimate,7,0.0,0.0,-
20,flying,8,0.05,0.04,-
21,flown,8,0.05,0.05,-
22,fly,8,0.04,0.04,-
23,flew,7,0.05,0.05,-
24,flies,7,0.02,0.02,-
