,context,n_concepts,mean_tfidf,mean_diff,evidence
0,unknown,42,0.0,0.0,-
1,led,41,0.0,0.0,-
2,separate,40,0.0,0.0,-
3,same,40,0.01,0.0,-
4,flight,40,0.01,0.01,-
5,among,40,0.0,0.0,-
6,sharp,40,0.0,0.0,-
7,finds,40,0.01,0.0,-
8,have,40,0.01,0.0,-
9,six,39,0.01,0.0,-
10,initial,39,0.0,0.0,-
11,who,39,0.01,0.01,-
12,spent,38,0.0,0.0,-
13,attempts,38,0.0,0.0,-
14,members,38,0.0,0.0,-
15,would,38,0.01,0.0,-
16,of,38,0.03,0.01,-
17,though,38,0.0,0.0,-
18,living,38,0.0,0.0,-
19,contact,38,0.01,0.01,-
20,black,35,0.04,0.03,-
