,context,n_concepts,mean_tfidf,mean_diff,evidence
0,growing,22,0.01,0.01,-
1,planting,21,0.01,0.01,-
2,harvest,21,0.02,0.01,-
3,leaf,20,0.01,0.01,-
4,crops,20,0.02,0.02,-
5,varieties,20,0.02,0.01,-
6,seeds,20,0.05,0.05,-
7,garden,20,0.02,0.02,-
8,farmer,20,0.02,0.02,-
9,annual,20,0.01,0.0,-
10,crop,19,0.02,0.02,-
11,festival,19,0.01,0.01,-
12,production,19,0.01,0.01,-
13,peeled,19,0.02,0.02,-
14,planted,19,0.01,0.01,-
15,growers,19,0.07,0.06,-
16,fields,19,0.02,0.02,-
17,patch,19,0.06,0.06,-
18,seed,18,0.01,0.01,-
19,association,18,0.01,0.0,-
20,round,5,0.0,0.0,-
