relation,non-specific,n_pairs
pos,18.0,1598
neg,7.0,1077
all,17.333333333333332,886
some,18.708333333333336,712
few,7.0,1077
evidence,18.0,956
no_evidence_pos,18.5,312
no_evidence_neg,6.75,982
implied_category,14.6,85
typical_of_concept,19.33333333333333,91
typical_of_property,18.0,184
affording_activity,16.75,120
afforded_usual,9.333333333333334,31
afforded_unusual,13.666666666666664,41
variability_limited,16.0,443
variability_open,22.5,156
variability_open_scalar,21.0,165
rare,9.333333333333332,98
unusual,8.416666666666668,278
impossible,6.0,409
creative,6.325,68
