relation,prop-specific,n_pairs
pos,1.0,1598
neg,0.0,1077
all,2.0,886
some,1.0,712
few,0.0,1077
evidence,1.0833333333333335,956
no_evidence_pos,1.0,312
no_evidence_neg,0.0,982
implied_category,1.0,85
typical_of_concept,1.0,91
typical_of_property,2.0,184
affording_activity,2.0,120
afforded_usual,1.0,31
afforded_unusual,0.75,41
variability_limited,1.0,443
variability_open,0.5,156
variability_open_scalar,2.0,165
rare,0.0,98
unusual,0.0,278
impossible,0.0,409
creative,0.0,68
