relation,prop-specific,n_pairs
pos,0.005590543437120226,1598
neg,0.0012940148191538303,1077
all,0.006778048558205713,886
some,0.004728592651121529,712
few,0.0012940148191538303,1077
evidence,0.0063434599289025504,956
no_evidence_pos,0.0039252109911968435,312
no_evidence_neg,0.0012091585401549287,982
implied_category,0.0038858426681656296,85
typical_of_concept,0.01492200256243421,91
typical_of_property,0.0088871878051178,184
affording_activity,0.007114789488847199,120
afforded_usual,0.0020976995135166218,31
afforded_unusual,0.0012663058832991206,41
variability_limited,0.005470101510664413,443
variability_open,0.005203481496111749,156
variability_open_scalar,0.0038975066167341353,165
rare,0.002851324572405213,98
unusual,0.0014585577755799775,278
impossible,0.0007923706050038061,409
creative,0.0024733876300317746,68
