relation,p,n_pairs
pos,1.0,1598
neg,0.0,1077
all,1.0,886
some,0.6666666666666666,712
few,0.0,1077
evidence,1.0,956
no_evidence_pos,0.5,312
no_evidence_neg,0.0,982
implied_category,1.0,85
typical_of_concept,1.0,91
typical_of_property,1.0,184
affording_activity,1.0,120
afforded_usual,1.0,31
afforded_unusual,0.75,41
variability_limited,0.8,443
variability_open,0.3333333333333333,156
variability_open_scalar,1.0,165
rare,0.0,98
unusual,0.0,278
impossible,0.0,409
creative,0.0,68
