relation,non-specific,n_pairs
pos,0.0857444941175293,1598
neg,0.02286402133397156,1077
all,0.09622810381547191,886
some,0.07639460807868612,712
few,0.02286402133397156,1077
evidence,0.08951699964731094,956
no_evidence_pos,0.07754564734383543,312
no_evidence_neg,0.022156679807247757,982
implied_category,0.08219364355349827,85
typical_of_concept,0.08187354063990597,91
typical_of_property,0.09875193945343352,184
affording_activity,0.12910860559227175,120
afforded_usual,0.07049260352077702,31
afforded_unusual,0.042065739085846335,41
variability_limited,0.07153312393120759,443
variability_open,0.0781049665267882,156
variability_open_scalar,0.08313505383807845,165
rare,0.040238599463338395,98
unusual,0.0337120567358047,278
impossible,0.017750126722281687,409
creative,0.018013436256128824,68
