relation,prop-specific,n_pairs
pos,0.006108355796730466,1598
neg,0.0,1077
all,0.011577323991904583,886
some,0.0031213858846005117,712
few,0.0,1077
evidence,0.007576748977051649,956
no_evidence_pos,0.0022254896420044606,312
no_evidence_neg,0.0,982
implied_category,0.00847488680852062,85
typical_of_concept,0.007032772333323343,91
typical_of_property,0.019997655990655075,184
affording_activity,0.017709680025856496,120
afforded_usual,0.005736800630417652,31
afforded_unusual,0.0012129387099978565,41
variability_limited,0.002590140074660389,443
variability_open,0.0009197878827342959,156
variability_open_scalar,0.0077776903923827455,165
rare,0.0,98
unusual,0.0,278
impossible,0.0,409
creative,0.0,68
