relation,non-specific,n_pairs
pos,0.0058885800585395266,1598
neg,0.0016099658543002936,1077
all,0.006788844641370585,886
some,0.0051124200084682325,712
few,0.0016099658543002936,1077
evidence,0.006368851929822938,956
no_evidence_pos,0.005138551388498306,312
no_evidence_neg,0.0015666469795515546,982
implied_category,0.005263388527899566,85
typical_of_concept,0.00531692133183139,91
typical_of_property,0.00734220243639253,184
affording_activity,0.009093733783544118,120
afforded_usual,0.004361869757743703,31
afforded_unusual,0.0024173475915368558,41
variability_limited,0.004819031647684824,443
variability_open,0.005201351570188242,156
variability_open_scalar,0.006295591683714006,165
rare,0.0030284185033214346,98
unusual,0.002083901209189364,278
impossible,0.0011069652005098688,409
creative,0.0018125784562522018,68
