relation,non-specific,n_pairs
pos,0.0876840843851306,1598
neg,0.050510204081632655,1077
all,0.11207787429769897,886
some,0.06966050493666756,712
few,0.050510204081632655,1077
evidence,0.09230336777954194,956
no_evidence_pos,0.06562729969530362,312
no_evidence_neg,0.05,982
implied_category,0.0966738132160743,85
typical_of_concept,0.08571428571428573,91
typical_of_property,0.1249843690533542,184
affording_activity,0.158362525601009,120
afforded_usual,0.047679964913792415,31
afforded_unusual,0.030343461356715992,41
variability_limited,0.08071033773578842,443
variability_open,0.06425468334510322,156
variability_open_scalar,0.06886620521027398,165
rare,0.057147215569437304,98
unusual,0.05610622610931248,278
impossible,0.04814259536898217,409
creative,0.0430717345041842,68
