,context,n_concepts,mean_tfidf,mean_diff,evidence
0,shrimp,6,0.15,0.14,i
1,runs,6,0.01,0.01,u
2,lobster,6,0.08,0.08,i
3,eaten,6,0.01,0.01,u
4,features,6,0.01,0,u
5,chunks,6,0.02,0.01,u
6,200,6,0.01,0,u
7,la,6,0.01,0,u
8,there,6,0.01,0,u
9,missing,6,0,0,u
10,plump,6,0.01,0.01,u
11,smoked,6,0.02,0.01,u
12,grilled,6,0.05,0.05,u
13,abundance,6,0.01,0.01,u
14,each,6,0.01,0.01,u
15,hook,6,0.01,0.01,u
16,favorites,5,0.01,0,u
17,pull,5,0,0,u
18,oysters,5,0.02,0.02,i
19,live,5,0.01,0.01,u
20,juicy,3,0.01,0.01,p
