,context,n_concepts,mean_tfidf,mean_diff,evidence
0,flavored,19,0.01,0.01,u
1,sweet,18,0.01,0.01,u
2,fried,18,0.02,0.01,u
3,cups,18,0.03,0.03,u
4,vanilla,17,0.03,0.03,r
5,spoon,17,0.01,0.01,u
6,honey,17,0.01,0.01,u
7,flavor,17,0.01,0.01,u
8,sauce,17,0.02,0.02,u
9,fruit,17,0.02,0.02,u
10,frozen,17,0.01,0.01,n
11,lemon,17,0.1,0.1,u
12,ingredients,16,0.01,0.01,u
13,banana,16,0.01,0.01,u
14,soup,16,0.04,0.04,u
15,chilled,16,0.01,0.01,n
16,blend,16,0.01,0.01,u
17,combine,16,0.01,0.01,u
18,diet,16,0.01,0.01,u
19,cream,16,0.1,0.09,r
20,cold,9,0.03,0.02,p
