,context,n_concepts,mean_tfidf,mean_diff,evidence
0,weapon,19,0.06,0.05,-
1,firing,18,0.05,0.05,-
2,cannon,18,0.03,0.03,-
3,fired,18,0.06,0.06,-
4,gun,18,0.04,0.04,-
5,similar,17,0.01,0.01,-
6,design,17,0.01,0.01,-
7,ready,17,0.01,0.01,-
8,pointed,17,0.01,0.01,-
9,kills,17,0.02,0.02,-
10,shorter,17,0.01,0.01,-
11,single,17,0.02,0.02,-
12,shot,17,0.04,0.04,-
13,carrying,17,0.03,0.02,-
14,equipped,17,0.01,0.01,-
15,weapons,17,0.02,0.02,-
16,carried,17,0.01,0.01,-
17,killing,17,0.02,0.02,-
18,fire,17,0.03,0.03,-
19,with,17,0.03,0.02,-
20,dangerous,10,0.01,0.01,-
