,all,relation,no-cat,food,object,communication,warm,measure,mean,median
fridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bandana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ice,0.0011990643908072634,0.0,0.0,0.0011046718903731615,0.0012164843847236127,0.0,0.0,0.0,0.0004400275832380047,0.0
surfboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strap,0.0023965353952142866,0.0,0.0,0.0,0.002487255618671073,0.0,0.0,0.0,0.00061047387673567,0.0
forest,0.009674242972182556,0.0,0.0,0.0,0.009640225097688554,0.0,0.0,0.0,0.0024143085087338888,0.0
cummerbund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beer,0.0005452685612398752,0.0005286606266559532,0.0,0.0005555589516400614,0.0,0.0,0.0,0.0,0.00020368601744198624,0.0
can,0.009628647362239168,0.0,0.0,0.0,0.009833129788094988,0.009553960884293417,0.0,0.009747451657753028,0.004845398711547575,0.004845398711547575
bikini,0.0039462560118588156,0.0,0.0,0.0,0.0040708886607301,0.0,0.0,0.0,0.0010021430840736144,0.0
earring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collar,0.0005718487603239327,0.0,0.0,0.0,0.0005971709113030807,0.0,0.0,0.0,0.00014612745895337668,0.0
lace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candy,0.001316261219740968,0.0,0.0,0.0011540384441656485,0.0,0.0,0.0,0.0,0.0003087874579883271,0.0
grosgrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feeling,0.005271373199390587,0.0,0.0,0.0,0.0,0.0,0.004687140778425182,0.0,0.001244814247226971,0.0
