,context,n_concepts,mean_tfidf,mean_diff,evidence
0,also,36,0.01,0.0,-
1,bites,35,0.0,0.0,-
2,humble,35,0.01,0.01,-
3,pie,35,0.08,0.07,-
4,rounds,35,0.0,0.0,-
5,fruits,35,0.01,0.01,-
6,dried,34,0.02,0.02,-
7,annual,34,0.0,0.0,-
8,although,34,0.0,0.0,-
9,dessert,34,0.03,0.02,-
10,apple,33,0.04,0.03,-
11,jam,33,0.01,0.01,-
12,about,33,0.01,0.0,-
13,passion,33,0.0,0.0,-
14,ripe,33,0.02,0.02,-
15,lovers,33,0.01,0.01,-
16,cut,32,0.02,0.01,-
17,desserts,32,0.01,0.01,-
18,dotted,32,0.0,0.0,-
19,15,32,0.01,0.0,-
20,round,20,0.01,0.01,-
