,context,n_concepts,mean_tfidf,mean_diff,evidence
0,killed,42,0.03,0.02,-
1,shoot,40,0.01,0.01,-
2,killing,39,0.01,0.01,-
3,shooting,38,0.02,0.02,-
4,armed,37,0.02,0.02,-
5,reportedly,37,0.0,0.0,-
6,attack,37,0.02,0.02,-
7,apparently,37,0.01,0.01,-
8,lethal,37,0.02,0.02,-
9,man,36,0.02,0.01,-
10,target,36,0.01,0.01,-
11,hiding,36,0.0,0.0,-
12,captured,36,0.01,0.01,-
13,kill,36,0.01,0.01,-
14,dead,36,0.01,0.01,-
15,authorities,36,0.01,0.01,-
16,soldier,36,0.01,0.01,-
17,carried,35,0.01,0.01,-
18,battle,35,0.01,0.01,-
19,attacked,35,0.01,0.01,-
20,dangerous,32,0.01,0.01,-
