,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fly,6,0.0,0.0,-
1,pass,5,0.0,0.0,-
2,especially,5,0.0,0.0,-
3,ginger,5,0.01,0.0,-
4,wild,5,0.05,0.04,-
5,duck,4,0.09,0.09,-
6,liver,4,0.01,0.01,-
7,menu,4,0.01,0.01,-
8,lamb,4,0.02,0.02,-
9,dishes,4,0.02,0.02,-
10,frozen,4,0.01,0.0,-
11,roast,4,0.07,0.07,-
12,venison,4,0.04,0.04,-
13,roasted,4,0.05,0.05,-
14,meats,4,0.01,0.01,-
15,cooked,4,0.01,0.01,-
16,hunting,4,0.17,0.16,-
17,beef,4,0.01,0.01,-
18,quail,4,0.14,0.14,-
19,pork,4,0.02,0.01,-
20,fly,6,0.0,0.0,-
21,flew,3,0.01,0.01,-
22,flying,3,0.01,0.01,-
23,flown,2,0.0,0.0,-
24,flies,2,0.0,0.0,-
