,round,animal,relation,bird,object,food,all,fruit,plant,measure,mean,median
frisbee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cds,0.0008789244505051066,0.0,0.0,0.0,0.0,0.0,0.0006704117323269881,0.0,0.0,0.0,0.00015493361828320946,0.0
enchiladas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
world,0.0,0.0,0.0,0.0,0.0,0.0,0.0005403294085667869,0.0,0.0,0.0,5.403294085667869e-05,0.0
pen,0.0,0.00043606149252367154,0.0,0.00043606149252367154,0.0004324668419970543,0.0,0.00042984104100868823,0.0,0.0,0.0,0.00017344308680530856,0.0
chicken,0.0,0.0,0.0,0.00027819756250583287,0.00036992923810160724,0.000399818739582102,0.00037614383852078954,0.0,0.0,0.0,0.00014240893787103318,0.0
marble,0.0,0.0,0.001207405084736625,0.0,0.0012074100254372035,0.0,0.0011594612492870783,0.0,0.0,0.0,0.00035742763594609066,0.0
chocolate,0.0,0.0,0.0007415840155598658,0.0,0.0,0.0010657705921243682,0.0009256712017448905,0.0,0.0,0.0,0.00027330258094291244,0.0
pecan,0.0,0.0,0.0012947720506411087,0.0,0.001515885687205261,0.0,0.0017466320984668932,0.0018267039117728222,0.0019056173116235324,0.0,0.0008289611059709616,0.0008289611059709616
cherry,0.0,0.0,0.0018193798638998823,0.0,0.002028829096731153,0.002154908229647701,0.00203968025306088,0.002572737626838166,0.0024881660667001406,0.0,0.0013103701136877922,0.0018193798638998823
orange,0.0,0.0,0.00128681005025619,0.0,0.0013570471704688163,0.0015782691682580687,0.0014210971857247184,0.001725086738355609,0.0015618400680248341,0.0,0.0008930150381088235,0.00128681005025619
circle,0.0,0.0,0.0006072230530887626,0.0,0.0005655064400974787,0.0,0.0005487752403606728,0.0,0.0,0.0,0.00017215047335469142,0.0
soup,0.0,0.0,0.0007644931125950833,0.0,0.0,0.000912610060466264,0.0009234158242849019,0.0,0.0,0.0,0.00026005189973462493,0.0
room,0.0,0.0,0.0005958569499751599,0.0,0.0006656519958051373,0.0,0.0006277655701611513,0.0,0.0,0.0,0.00018892745159414484,0.0
bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egg,0.0,0.0,0.0,0.0,0.0013040091058129353,0.0016557796388882516,0.0014186724563883557,0.0,0.0,0.0,0.0004378461201089543,0.0
disk,0.0,0.0,0.0,0.0,0.00029904664346797744,0.0,0.00029146429973148276,0.0,0.0,0.0,5.905109431994602e-05,0.0
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banjo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.0,0.0,0.0,0.0,0.0007395958379594255,0.0010090963362172026,0.0008275441361232976,0.0009109009281381875,0.0009188793258687127,0.0,0.0004406016564306826,0.0004406016564306826
fruit,0.0,0.0,0.0,0.0,0.0023385924645250218,0.0,0.002530445776242071,0.002828231479386538,0.0,0.0,0.000769726972015363,0.0
button,0.0,0.0,0.0,0.0,0.0009327029301599006,0.0,0.0009068568710134446,0.0,0.0,0.0,0.00018395598011733454,0.0
berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gourd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
box,0.0,0.0,0.0,0.0,0.002420992997651636,0.0,0.0024029212658161427,0.0,0.002684621027516167,0.0022411683935823776,0.0009749703684566324,0.0
tray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pumpkin,0.0,0.0,0.0,0.0,0.0007439252001150042,0.0009616408557206899,0.0008435932089852289,0.0,0.0009343391007386226,0.0,0.0003483498365559546,0.0
barrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
table,0.0,0.0,0.0,0.0,0.0005385438925739366,0.0005192142049544698,0.0005243242384364763,0.0,0.0,0.0,0.00015820823359648828,0.0
cheese,0.0,0.0,0.0,0.0,0.0004155878884344421,0.0005780360010072688,0.00047744535741479183,0.0,0.0005306723731547525,0.0,0.00020017416200112555,0.0
peanut,0.0,0.0,0.0,0.0,0.00037096464302269666,0.0,0.00041391355313825164,0.00044484936504586006,0.0005291937154171724,0.0,0.00017589212766239807,0.0
apple,0.0,0.0,0.0,0.0,0.0010963005417068356,0.00107892406334234,0.001064298902245992,0.001383885436787369,0.0013580023055228551,0.0,0.0005981411249605392,0.0005981411249605392
tart,0.0,0.0,0.0,0.0,0.0013942722374868748,0.0016041698217153445,0.0014817109702927064,0.0,0.0,0.0,0.00044801530294949254,0.0
watermelon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
