,context,n_concepts,mean_tfidf,mean_diff,evidence
0,cucumber,11,0.07,0.06,-
1,okra,11,0.05,0.05,-
2,dish,10,0.04,0.02,-
3,watermelon,10,0.02,0.02,-
4,potato,10,0.06,0.04,-
5,potatoes,10,0.04,0.03,-
6,corn,10,0.04,0.02,-
7,salads,10,0.01,0.01,-
8,cucumbers,10,0.01,0.01,-
32,green,9,0.03,0.02,-
26,spinach,9,0.04,0.03,-
27,papaya,9,0.01,0.01,-
28,varieties,9,0.02,0.01,-
29,cultivars,9,0.01,0.01,-
31,vegetable,9,0.04,0.03,-
37,garden,9,0.03,0.03,-
33,similar,9,0.01,0.0,-
34,native,9,0.01,0.01,-
35,shrimp,9,0.01,0.01,-
36,indigenous,9,0.01,0.01,-
