,all,relation,bird,mammal,no-cat,yellow,animal,food,plant,object,fruit,vegetable,fish,vehicle,measure,mean,median
bottle,0.003735921828384038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003678864897411457,0.0,0.0,0.0,0.0,0.005097473807831877,0.0008341507022418248,0.0
tire,0.0010898043561135197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001079631760508873,0.0,0.0,0.0,0.0,0.0,0.00014462907444149283,0.0
calf,0.0002589430458746346,0.00031177784704019846,0.0,0.0,0.0,0.0,0.00032390020985749993,0.0,0.0,0.0002665790348968897,0.0,0.0,0.0,0.0,0.0,7.74133425112815e-05,0.0
willow,0.0014155585005944176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014318682798084177,0.0014823024908156655,0.0,0.0,0.0,0.0,0.0,0.0002886486180812334,0.0
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
milk,0.0013828823231902003,0.0017773288505889286,0.0,0.0,0.0,0.0,0.0,0.0016475379858347941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003205166106409282,0.0
truffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,0.002421682873089422,0.0,0.0,0.0,0.0,0.0,0.0,0.002916900839611278,0.0025220090513560682,0.0024185866084426412,0.0,0.0,0.0,0.0,0.0,0.0006852786248332939,0.0
piano,0.0019985592909874507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002076156306581735,0.0,0.0,0.0,0.0,0.0,0.0002716477065046124,0.0
chive,0.01073059121210842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011360686754020015,0.010742883018675937,0.0,0.0,0.0,0.0,0.0,0.002188944065653625,0.0
clarinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emerald,0.009230599564432477,0.010806399175741483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009525613244992875,0.0,0.0,0.0,0.0,0.0,0.001970840799011122,0.0
dog,0.024329135334243242,0.0,0.0,0.037351089088125344,0.033706057173384936,0.0,0.031106897156116156,0.02404109662270469,0.0,0.025040330644051548,0.0,0.0,0.0,0.0,0.0,0.01170497373457506,0.0
plumeria,0.06491993362801704,0.0,0.0,0.0,0.0,0.06650819051294503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008761874942730804,0.0
jade,0.00600216554203231,0.0,0.0,0.010101578744077081,0.0,0.0,0.00771068459430643,0.0,0.0,0.006107423977633825,0.0,0.0,0.0,0.0,0.0,0.001994790190536643,0.0
lime,0.010851461412750918,0.013123613977052999,0.0,0.0,0.0,0.0,0.0,0.014115899615305093,0.011551655959824278,0.010796183383080513,0.014181862192625927,0.0,0.0,0.0,0.0,0.004974711769375982,0.0
miner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bean,0.007161383645204276,0.0,0.0,0.0,0.0,0.0,0.0,0.008426952931038739,0.0072354595090806445,0.007293573766997861,0.008708907524161485,0.0097735569259748,0.0,0.0,0.0,0.003239988953497187,0.0
pawpaw,0.07107556830359012,0.0,0.0,0.0,0.0,0.0,0.0,0.07500685607579254,0.06739684271092582,0.07089329627987856,0.08117323454977145,0.0,0.0,0.0,0.0,0.024369719861330564,0.0
