,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fish,40,0.1,0.09,-
1,herring,32,0.08,0.08,-
2,atlantic,31,0.03,0.03,-
3,waters,31,0.02,0.02,-
4,cod,30,0.11,0.11,-
5,salmon,29,0.09,0.09,-
6,fishing,29,0.03,0.03,-
7,eel,28,0.02,0.02,-
8,pacific,28,0.03,0.03,-
9,trout,27,0.07,0.07,-
10,freshwater,27,0.07,0.07,-
11,fishery,27,0.05,0.05,-
12,abundant,27,0.01,0.01,-
13,fisheries,26,0.03,0.03,-
14,caught,26,0.02,0.02,-
15,carp,25,0.04,0.04,-
16,catch,25,0.02,0.01,-
17,bream,24,0.03,0.02,-
18,lake,24,0.03,0.03,-
19,populations,24,0.02,0.01,-
20,swim,17,0.01,0.01,-
21,swimming,3,0.02,0.02,-
22,swims,2,0.02,0.02,-
