,context,n_concepts,mean_tfidf,mean_diff,evidence
0,flame,31,0.01,0.01,i
1,heat,30,0.05,0.05,p
2,burning,30,0.04,0.03,n
3,wood,29,0.04,0.04,u
4,iron,28,0.02,0.02,i
5,works,27,0.01,0.01,u
6,flames,27,0.01,0.01,i
7,steam,27,0.06,0.06,i
8,warmed,27,0.01,0.01,n
9,fired,26,0.01,0.01,r
10,hot,26,0.08,0.07,p
11,gas,26,0.04,0.03,i
12,huge,26,0.01,0,u
13,or,26,0.03,0.01,u
14,smoke,25,0.02,0.02,r
15,conventional,25,0,0,u
16,14,25,0.01,0,u
17,pine,25,0,0,u
18,oven,25,0.13,0.11,i
19,warm,25,0.02,0.02,n
20,hot,26,0.08,0.07,p
