,all,relation,bird,mammal,no-cat,animal,food,plant,object,fruit,communication,vegetable,measure,reptile,mean,median
glass,0.0038135291401937316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00391551522233081,0.0,0.0,0.0,0.004338555158007733,0.0,0.0008619713943237338,0.0
pit,0.005434599042693531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057724794132312735,0.0,0.0,0.0,0.0,0.0,0.0008005056039946288,0.0
blackboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pupil,0.002192171685294053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022166244555582425,0.0,0.0,0.0,0.0,0.0,0.00031491401006087825,0.0
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market,0.0017896897533606609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018615231038535893,0.0,0.0,0.0,0.0,0.0,0.00026080091837244645,0.0
civet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.0007029996830613918,0.0,0.0,0.0009342325629980789,0.0,0.0009435434261050391,0.0,0.0,0.000764379806702066,0.0,0.0,0.0,0.0,0.0,0.00023893967706189824,0.0
bat,0.0007615285914691299,0.0,0.0,0.0008584609737476405,0.0,0.0008732999543647137,0.0,0.0,0.0008031283989883038,0.0,0.0,0.0,0.0,0.0,0.00023545842275498485,0.0
skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pelican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parka,0.00843995096106413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008478791817056495,0.0,0.0,0.0,0.0,0.0,0.001208481627008616,0.0
snake,0.0014683070227040893,0.0,0.0,0.0,0.0,0.001880924016372618,0.0,0.0,0.0015366873515116975,0.0,0.0,0.0,0.0,0.0017092554802704558,0.00047108384791849005,0.0
bear,0.0004545655858697255,0.0,0.0,0.000620616481220924,0.0,0.0005779248181433724,0.0,0.0,0.0005098555686756842,0.0,0.0,0.0,0.0,0.0,0.0001544973181364076,0.0
raisin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stocking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.003120540893382982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032514152959445862,0.0,0.0,0.0,0.0,0.0,0.000455139727809112,0.0
night,0.007796240372709634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007626285525562072,0.0,0.0011016089927336932,0.0
hornet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dress,0.0017941941428200859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019066368798461562,0.0,0.0,0.0,0.0,0.0,0.00026434507304758873,0.0
pig,0.0015346235323973792,0.0,0.0,0.001670891157576118,0.0,0.0018418094982127775,0.0,0.0,0.0016121606975944135,0.0,0.0,0.0,0.0,0.0,0.0004756774918414777,0.0
tyre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balloon,0.0014949137425804737,0.0,0.0,0.0,0.002517182221987255,0.0,0.0,0.0,0.0015939952456927439,0.0,0.0,0.0,0.0,0.0,0.0004004350864471766,0.0
cat,0.0014532131303250468,0.0,0.0,0.0015108243182778026,0.0018253532613575034,0.0018806483655606635,0.0,0.0,0.0015107102373424918,0.0,0.0,0.0,0.0,0.0,0.0005843392366331078,0.0
ring,0.0011177430746055397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011783427076984103,0.0,0.0,0.0,0.0,0.0,0.00016400612730742498,0.0
weasel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insect,0.0015187251486868728,0.0,0.0,0.0,0.0,0.0016522450607556062,0.0,0.0,0.001616234203290443,0.0,0.0,0.0,0.0,0.0,0.0003419431723380659,0.0
olive,0.0011349748895402758,0.0009035056114658712,0.0,0.0,0.0,0.0,0.0012457555742515735,0.0012899135773722723,0.0011785273034461159,0.0014712413484589614,0.0,0.0,0.0,0.0,0.0005159941646096478,0.0
penguin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pot,0.0017757796343244845,0.0015826454588158177,0.0,0.0,0.0,0.0,0.0,0.0,0.0018802876456686475,0.0,0.0,0.0,0.0031715870403809846,0.0,0.0006007356985135668,0.0
cherry,0.0014109121785118705,0.0011124382948814431,0.0,0.0,0.0,0.0,0.0015468458296348435,0.001673873053199791,0.0014883004765667753,0.0018715261727222155,0.0,0.0,0.0,0.0,0.0006502782861083528,0.0
bra,0.0012574330492988587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012317358497677241,0.0,0.0,0.0,0.0,0.0,0.0001777977785047559,0.0
football,0.0009023187466843428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009399245224797947,0.0,0.0,0.0,0.0,0.0,0.00013158880494029554,0.0
human,0.0003823530238144449,0.0,0.0,0.0004800906625403905,0.0,0.0004444906264683943,0.0,0.0,0.0004002115414900803,0.0,0.0,0.0,0.0,0.0,0.00012193898959380787,0.0
car,0.014055825177576602,0.0,0.0,0.0,0.019109616510834943,0.0,0.0,0.0,0.014472013030809404,0.0,0.0,0.0,0.0,0.0,0.0034026753370872105,0.0
eye,0.00036043988332953956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037374322736960405,0.0,0.0,0.0,0.0,0.0,5.2441650764224546e-05,0.0
lizard,0.0029651505863751864,0.0,0.0,0.0,0.0,0.0036390029159843297,0.0,0.0,0.0031504047898418515,0.0,0.0,0.0,0.0,0.0029967028491260568,0.0009108043672376731,0.0
sky,0.002592675960823866,0.0,0.0,0.0,0.0035029345165676047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043540074838510504,0.0
cloud,0.002744943948276966,0.0,0.0,0.0,0.0035659565650939325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045077860809792134,0.0
bird,0.00032962418341552044,0.0,0.0006851508397527388,0.0,0.0005437723003248483,0.00044849489597993897,0.0002938765306935115,0.0,0.00034976652566749515,0.0,0.0005435923452806355,0.0,0.0,0.0,0.00022816268722247778,0.00022816268722247778
cow,0.00019964936045246574,0.0,0.0,0.0002789043359179528,0.0,0.0002600790932498951,0.0,0.0,0.0002106697318856295,0.0,0.0,0.0,0.0,0.0,6.780732296471022e-05,0.0
sheep,0.0032918580367241523,0.0,0.0,0.003515803314302165,0.0,0.0037034670969275313,0.0,0.0,0.0034152265495926183,0.0,0.0,0.0,0.0,0.0,0.0009947396426818905,0.0
rat,0.0004931004030584333,0.0,0.0,0.000596949691686098,0.0,0.0005784750493979119,0.0,0.0,0.0005335201872248125,0.0,0.0,0.0,0.0,0.0,0.00015728895224051824,0.0
paint,0.0049042028849427925,0.004093016228052624,0.0,0.0,0.0,0.0,0.0,0.0,0.005073796604770612,0.0,0.0,0.0,0.0,0.0,0.001005072551269002,0.0
zebra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tar,0.00019902014562417223,0.00017620551485313733,0.0,0.0,0.0,0.0,0.0,0.0,0.00019801494322459166,0.0,0.0,0.0,0.0,0.0,4.094575740727866e-05,0.0
jean,0.0002635165448231272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028035751552546337,0.0,0.0,0.0,0.0,0.0,3.884814716775647e-05,0.0
crow,0.0004976793625809248,0.0,0.0009981289697948083,0.0,0.0,0.0005822281294884456,0.0,0.0,0.0005586230828992892,0.0,0.0,0.0,0.0,0.0,0.000188332824625962,0.0
grape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
