,all,relation,bird,mammal,no-cat,animal,food,plant,object,fruit,communication,vegetable,measure,reptile,mean,median
owl,0.0012481541814214458,0.0,0.0018721312341113275,0.0,0.0,0.0017433105247420665,0.0,0.0,0.0012832135572565203,0.0,0.0,0.0,0.0,0.0,0.00043905782125224,0.0
nightmare,0.0008853970078580246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.324264341843033e-05,0.0
lantern,0.0019339380702099937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019672788632676885,0.0,0.0,0.0,0.0,0.0,0.000278658352391263,0.0
magpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.010123450768931628,0.0,0.0,0.0,0.014621770992054726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017675158400704538,0.0
aubergine,0.03258817626246899,0.0,0.0,0.0,0.0,0.0,0.0349836210543668,0.03592139651037489,0.03452287125239467,0.0,0.0,0.0335720443986933,0.0,0.0,0.012256293534164188,0.0
calf,0.0003909833075651702,0.00035243317166128434,0.0,0.0,0.0,0.0004276267149599896,0.0,0.0,0.0004037225132121268,0.0,0.0,0.0,0.0,0.0,0.00011248326481418363,0.0
opossum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raccoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
umbrella,0.0004582692249551995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047584773957656443,0.0,0.0,0.0,0.0,0.0,6.672264032369743e-05,0.0
truffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffee,0.0035991462534067284,0.0030682802403510265,0.0,0.0,0.0,0.0,0.00375718442002702,0.0038894096307444635,0.003725129277766616,0.004513217267704059,0.0,0.0,0.0,0.0,0.0016108833635714223,0.0
hair,0.007234387778806388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007581660058478248,0.0,0.0,0.0,0.008549036688015564,0.0,0.0016689346089500143,0.0
hose,0.002993546539983258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003190240754245296,0.0,0.0,0.0,0.0,0.0,0.0004416990924448967,0.0
leopard,0.001270018098481314,0.0010462299997040893,0.0,0.0014929152406382843,0.0,0.0015575615229784096,0.0,0.0,0.0013200572790995609,0.0,0.0,0.0,0.0,0.0,0.00047762729577868984,0.0
rabbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.0017271719471313343,0.0,0.0,0.0020180198944750915,0.002494738117237683,0.002184657285048166,0.0016346951818132487,0.0,0.001818398694253479,0.0,0.0,0.0,0.0,0.0,0.0008484057942827859,0.0
woodpecker,0.0019452835045755087,0.0,0.0037543001989729114,0.0,0.0,0.002835393652701903,0.0,0.0,0.0020956257021531393,0.0,0.0,0.0,0.0,0.0,0.0007593287898859616,0.0
miner,0.0013175022533014748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014049607558566785,0.0,0.0,0.0,0.0,0.0,0.00019446164351129665,0.0
suit,0.0003399457001550729,0.00027127083738775717,0.0,0.0,0.0,0.0,0.0,0.0,0.00036834642333263574,0.0,0.0,0.0,0.0,0.0,6.996878291967613e-05,0.0
rhino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sand,0.0018806076515875396,0.0018830639406501475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002688336851598348,0.0
fox,0.00036240147191591074,0.00035793090413280943,0.0,0.00042942721149036685,0.0,0.00037215695775786684,0.0,0.0,0.0003567421503070697,0.0,0.0,0.0,0.0,0.0,0.00013418990682885883,0.0
pyramid,0.001170082397095163,0.0012416186512173412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001722643605937503,0.0
sun,0.0026363138101705304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002639612268833515,0.0,0.0,0.0,0.0,0.0,0.0003768518627860032,0.0
ketchup,0.0011965763752354965,0.0,0.0,0.0,0.0,0.0,0.0016040043033312627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002000414770404828,0.0
buttercup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.006194288991206392,0.0,0.0,0.005968638554451133,0.0,0.005976561376336513,0.0,0.0,0.006302299748802716,0.0,0.0,0.0,0.0,0.0,0.0017458420479140539,0.0
rain,0.0015679212430234244,0.0014748454872604293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000217340480734561,0.0
brick,0.0046305514415987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00464960955854503,0.0,0.0,0.0,0.0,0.0,0.0006628686428674093,0.0
gherkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weed,0.001424341333682794,0.0,0.0,0.0,0.0,0.0,0.0,0.00131497288274451,0.0013298250995806926,0.0,0.0,0.0,0.0,0.0,0.00029065280828628547,0.0
alligator,0.00266898423558436,0.002308165126810606,0.0,0.0,0.0,0.0028842562925844315,0.0,0.0,0.0026911891408361623,0.0,0.0,0.0,0.0,0.0029190874916943917,0.0009622630205364252,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.00036454779313232165,0.0,0.0,0.0,0.0,0.0,0.00043871975877675547,0.00040547144318979435,0.00036685480227376794,0.0004697474954862249,0.0,0.0,0.0,0.0,0.000146095806632776,0.0
heart,0.0013814663788447427,0.001285191467716853,0.0,0.0,0.0,0.0,0.001539060673984687,0.0,0.001388272080035256,0.0,0.0,0.0,0.0,0.0,0.00039957075718439567,0.0
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flower,0.0023555129919715996,0.0,0.0,0.0,0.0,0.0,0.0,0.002555063341898883,0.0023551905791865456,0.0,0.0,0.0,0.0026414291433968463,0.0,0.0007076568611752769,0.0
carnation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rice,0.0003599163417458891,0.0,0.0,0.0,0.0,0.0,0.00036227134294834496,0.00036787007096169053,0.0003487037875173347,0.0,0.0,0.0,0.0,0.0,0.0001027686816552328,0.0
supermarket,0.003273383125609459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033124104252710766,0.0,0.0,0.0,0.0,0.0,0.0004704138250628954,0.0
pear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avocado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.0009457726444573281,0.0,0.0,0.0,0.0,0.0009955669039393262,0.0012534500207421583,0.0,0.0009572636856226796,0.0,0.0,0.0,0.0,0.0,0.00029657523248296375,0.0
fir,0.0014439760725109864,0.0013838496624768721,0.0,0.0,0.0,0.0,0.0,0.0015257582285920308,0.0014581742400731964,0.0,0.0,0.0,0.0,0.0,0.0004151255859752204,0.0
honey,0.0005887916488008789,0.0,0.0,0.0,0.0,0.0,0.0008182378399044665,0.0,0.0005908021025657203,0.0,0.0,0.0,0.0,0.0,0.00014270225651936185,0.0
beet,0.0018152029276756148,0.0,0.0,0.0,0.0,0.0,0.0024095629422390538,0.0021596678580345866,0.0018112836860853243,0.0,0.0,0.0023296017654680637,0.0,0.0,0.0007518085128216174,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pansy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wine,0.00042292295993341645,0.0004190410145143205,0.0,0.0,0.0,0.0,0.0005458585946416999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.913018350638836e-05,0.0
cider,0.001615364610043859,0.0017213402170769608,0.0,0.0,0.0,0.0,0.0024646413610209168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041438187058155266,0.0
peacock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,0.0018314032934607014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018339657143760196,0.0,0.0,0.0,0.0019441870569796454,0.0,0.00040068257605831186,0.0
milk,0.0003551571443882539,0.00036725383621201267,0.0,0.0,0.0,0.0,0.00047974961365274127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.586861387521485e-05,0.0
onion,0.0003652576983032603,0.0,0.0,0.0,0.0,0.0,0.000599864421141219,0.0005350339843506384,0.00037411453355585124,0.0,0.0,0.0005863541263673291,0.0,0.0,0.00017575891169416415,0.0
butter,8.738694163865886e-05,0.0,0.0,0.0,0.0,0.0,0.00013930962857774097,0.0,8.908490981701378e-05,0.0,0.0,0.0,0.0,0.0,2.2555820002386688e-05,0.0
raspberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parrot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lion,0.0006608472884428773,0.0,0.0,0.0007266338832082391,0.0,0.0006778966192005056,0.0,0.0,0.0006524654988899955,0.0,0.0,0.0,0.0,0.0,0.0001941316635529727,0.0
dolphin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corn,0.0006742477032075874,0.0007630181649345942,0.0,0.0,0.0,0.0,0.0009612323251959616,0.0009580072136541571,0.0006864177765355531,0.001117740580294068,0.0,0.0,0.0,0.0,0.00036861884027299433,0.0
lime,0.00100138348840653,0.0010335050229596395,0.0,0.0,0.0,0.0,0.0015586263098421671,0.0012690590981059096,0.0010056211054219383,0.0016055075216334686,0.0,0.0,0.0,0.0,0.000533835896169261,0.0
