,animal,criminal,mammal,no-cat,measure,relation,fish,object,bird,communication,food,all,female,mean
sow,0.0050148612411412335,0.0,0.005061179663873595,0.0,0.0,0.0,0.0,0.006720878697242326,0.0,0.0,0.0,0.0067443537009652475,0.0,0.0018108671771709538
vixen,0.04088711641269203,0.0,0.044523538285192246,0.0,0.0,0.0,0.0,0.03681585749972436,0.0,0.0,0.0,0.0368641176433376,0.0,0.012237740756995864
siren,0.021202191945116283,0.0,0.0,0.0,0.0,0.0,0.0,0.023153298332238115,0.0,0.02316469148514617,0.0,0.023185980235416084,0.019766015791756582,0.008497859829974865
amazon,0.003154817075594854,0.0,0.0,0.0,0.0,0.0,0.0,0.002761325296003695,0.0035015631496547127,0.0,0.0,0.0027850257364003773,0.0036640469195749737,0.0012205213982483547
mademoiselle,0.0463495951218063,0.0,0.0,0.0,0.0,0.0,0.0682051963689365,0.05874428117132634,0.0,0.0,0.0,0.058714590647554334,0.0,0.017847204869971035
nymph,0.027244547596270322,0.0,0.0,0.0,0.0,0.0,0.0,0.02935016970144318,0.0,0.0,0.0,0.029376479151110725,0.023301991600160086,0.00840562984992187
cow,0.013385179616605581,0.0,0.013568391635630296,0.0,0.0,0.0,0.0,0.010817391502699348,0.0,0.0,0.0,0.010986564115055672,0.0,0.0037505789899992996
hen,0.009018802114140257,0.0,0.0,0.0,0.0,0.0,0.0,0.015639905143180217,0.01112684282689606,0.0,0.012876287269269777,0.015734007849474544,0.0,0.0049535265540739115
bitch,0.11106132083581281,0.0,0.11476313806371163,0.0,0.0,0.0,0.0,0.11512537825287775,0.0,0.0,0.0,0.11591486395539889,0.0,0.03514343854675393
tigress,0.007697196980036802,0.0,0.008063733862623441,0.0,0.0,0.0,0.0,0.0070690023642925775,0.0,0.0,0.0,0.007047151626016032,0.0,0.0022982372948437578
ewe,0.007332927629640573,0.0,0.007840003395686709,0.0,0.0,0.0,0.0,0.006454374370005305,0.0,0.0,0.0,0.006483100174528347,0.0,0.0021623388899893025
doe,0.010589800653236926,0.0,0.011020372075691776,0.0,0.0,0.0,0.0,0.010343106196052448,0.0,0.0,0.0,0.010345740067997579,0.0,0.0032537706917675946
queen,0.032769505674831334,0.0,0.033322109057609975,0.0,0.0,0.04191128662102931,0.0,0.03315008295658837,0.0,0.0,0.0,0.03308615575611253,0.0,0.013403010774320887
molly,0.03350367141662458,0.0,0.0,0.0,0.0,0.0,0.06496287836699143,0.03583730203339491,0.0,0.0,0.0,0.03600438227757502,0.0,0.013100633391891226
mare,0.014258120255287053,0.0,0.015066834350811948,0.0,0.0,0.0,0.0,0.01210946831681007,0.0,0.0,0.0,0.012126048638003602,0.0,0.004120036273916359
lioness,0.03560904130036204,0.0,0.03738107488206163,0.0,0.0,0.0,0.0,0.04453040642038333,0.0,0.0,0.0,0.04457894080237155,0.0,0.012469189492706043
angler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.011994272100313263,0.0,0.012123558509512505,0.0,0.0,0.01638456268525455,0.0,0.010565116449460947,0.0,0.0,0.0,0.010713688871792375,0.0,0.004752399893564126
hound,0.004530909859697853,0.0,0.005030817937376693,0.0,0.0,0.0,0.0,0.003505617383939166,0.0,0.0,0.0,0.0034907865378673987,0.0,0.0012737024399139317
baby,0.09309262263846929,0.0,0.0,0.0,0.0,0.0,0.0,0.08576559828780209,0.0,0.0,0.0,0.08645341276596456,0.09522429972807885,0.02773353334002421
emperor,0.0031427065767037155,0.0,0.0,0.005637804978025273,0.0,0.0,0.0,0.0032008431066637396,0.0,0.0,0.005741137185313101,0.00319237977378406,0.0,0.0016088362784992224
bull,0.00413172907000827,0.0,0.0046049187375826256,0.006125513617767409,0.0,0.0,0.0,0.003951040880600445,0.0,0.005774277435165916,0.0,0.003963683123695763,0.0,0.0021962432972938793
man,0.03932957311114935,0.0,0.041303163358866024,0.04886667306704936,0.0,0.0,0.0,0.036176792902804816,0.0,0.0,0.0,0.03669010431916439,0.0,0.01556663898146415
human,0.007311771371713841,0.0,0.007205052072054025,0.0,0.0,0.0,0.0,0.007111186605232185,0.0,0.0,0.0,0.007181763399152035,0.0,0.002216136419088622
