,animal,criminal,mammal,no-cat,measure,relation,fish,object,bird,communication,food,all,female,mean
sow,0.002917309194581557,0.0,0.0027181267127344613,0.0,0.0,0.0,0.0,0.00401291884586072,0.0,0.0,0.0,0.004017086222697815,0.0,0.0010511877673749655
vixen,0.005285639130710724,0.0,0.005313676380068494,0.0,0.0,0.0,0.0,0.0048849117980753875,0.0,0.0,0.0,0.004879351945935288,0.0,0.0015664291734453764
siren,0.005481782294001976,0.0,0.0,0.0,0.0,0.0,0.0,0.006144190458600942,0.0,0.005147709218921371,0.0,0.006137814493468062,0.00506954679189604,0.002152387942837569
amazon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mademoiselle,0.029037162041886038,0.0,0.0,0.0,0.0,0.0,0.03672587496788889,0.037773271239524474,0.0,0.0,0.0,0.03766184016428285,0.0,0.010861396031814019
nymph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cow,0.006370852755092472,0.0,0.005962057210282246,0.0,0.0,0.0,0.0,0.005284533948304133,0.0,0.0,0.0,0.005354051372369579,0.0,0.0017670380989268024
hen,0.001499009390947514,0.0,0.0,0.0,0.0,0.0,0.0,0.002668089479018098,0.002401531322070197,0.0,0.0018394696098956824,0.0026775780140313146,0.0,0.0008527444473817544
bitch,0.0053840009533171074,0.0,0.005136166729317122,0.0,0.0,0.0,0.0,0.005728278756880625,0.0,0.0,0.0,0.00575345471247653,0.0,0.0016924539347685681
tigress,0.008955423666819798,0.0,0.008661320827169763,0.0,0.0,0.0,0.0,0.008441554768945078,0.0,0.0,0.0,0.00839487872709877,0.0,0.002650244460771801
ewe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doe,0.004106956148793112,0.0,0.003945689834200266,0.0,0.0,0.0,0.0,0.004117124922559921,0.0,0.0,0.0,0.004108101060873861,0.0,0.0012521439974174737
queen,0.030146291014739982,0.0,0.028300289804271093,0.0,0.0,0.03313915686313946,0.0,0.031301085339770884,0.0,0.0,0.0,0.03116431476772083,0.0,0.011850087522280173
molly,0.020933901408648502,0.0,0.0,0.0,0.0,0.0,0.03488747171560651,0.022982848835122856,0.0,0.0,0.0,0.023033525348467494,0.0,0.007833672869834258
mare,0.005529610666918818,0.0,0.005394468963775553,0.0,0.0,0.0,0.0,0.004820234159938974,0.0,0.0,0.0,0.004815028499322461,0.0,0.001581487868458139
lioness,0.041429893510728524,0.0,0.04015131053849765,0.0,0.0,0.0,0.0,0.05317665001497956,0.0,0.0,0.0,0.0531044061031493,0.0,0.01445094308979654
angler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.0022509661051194722,0.0,0.0020918168300697666,0.0,0.0,0.00260072423575469,0.0,0.0019930815216005677,0.0,0.0,0.0,0.0020348974406505056,0.0,0.000843960471784231
hound,0.0015305692568602985,0.0,0.0015624446667119906,0.0,0.0,0.0,0.0,0.0011903859530253689,0.0,0.0,0.0,0.0011934364361502509,0.0,0.00042129510098060845
