,weapon,mammal,animal,no-cat,tool,medication,criminal,reptile,all,communication,relation,cutlery,fish,object,food,dangerous,measure,vehicle,mean
bayonet,0.0170804822502339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014256055624979605,0.0,0.0,0.0,0.0,0.01436670575774191,0.0,0.0,0.0,0.0,0.0025390690907197452
revolver,0.0294098263616129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02439132764743018,0.0,0.0,0.0,0.0,0.024243861059697683,0.0,0.0,0.0,0.0,0.004335834170485598
doodlebug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fusil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handgun,0.040544369861283576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03140154772921291,0.0,0.0,0.0,0.0,0.03075298921458067,0.0,0.0,0.0,0.0,0.005705494822504286
knife,0.027753473878753872,0.0,0.0,0.0,0.026937075144067426,0.0,0.0,0.0,0.026448093725206696,0.0,0.0,0.025599526720926198,0.0,0.026943342879093245,0.0,0.0,0.0,0.0,0.007426750686002636
buckshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blade,0.004555829373223716,0.0,0.0,0.0,0.004215141288645209,0.0,0.0,0.0,0.004103390097420528,0.0,0.0,0.0,0.0,0.004254629530292974,0.0039664791137004225,0.0,0.0,0.0,0.0011719705224046027
shotgun,0.05568262917987411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04612763936526031,0.0,0.0,0.0,0.0,0.0464401366808091,0.0,0.0,0.0,0.0,0.008236133623663528
sword,0.03893749955513093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03482082846059105,0.0,0.0,0.0,0.0,0.034377478449558505,0.0,0.0,0.0,0.0,0.006007544803626693
weapon,0.034455754680754715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322327746357642,0.0,0.0,0.0,0.0,0.03135902519059657,0.0,0.0,0.0,0.0,0.005447086361506416
grapeshot,0.015870868638862824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014156445258362668,0.0,0.0,0.0,0.0,0.013884324845854069,0.0,0.0,0.0,0.0,0.002439535485726642
shaft,0.0008829449894026616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007379198887506801,0.0006778945306122421,0.0,0.0,0.0,0.0007610636650490973,0.0,0.0,0.0,0.0,0.00016999017076748228
pistol,0.03171700048887133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026031838218812036,0.0,0.0,0.0,0.0,0.026599862807757037,0.0,0.0,0.0,0.0,0.004686038973080023
firearm,0.018292650447561017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015478032304392384,0.0,0.0,0.0,0.0,0.015422953902423,0.0,0.0,0.0,0.0,0.002732979814132022
scimitar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blunderbuss,0.07487730282019446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08280458203002514,0.0,0.0,0.0,0.0,0.08566546565033344,0.0,0.0,0.0,0.0,0.013519297250030725
arrow,0.005958656784427474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005730953976775731,0.005251063445347429,0.0,0.0,0.0,0.0059253214004955455,0.0,0.0,0.0,0.0,0.0012703330892803431
gun,0.04480986415359113,0.0,0.0,0.0,0.0,0.0,0.04445404914575931,0.0,0.040045106541533905,0.0,0.0,0.0,0.0,0.0401119614720094,0.0,0.0,0.0,0.0,0.009412276739605208
bow,0.017470521215146032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014775105369377388,0.01443169649767335,0.0,0.0,0.0,0.014617216789803999,0.0,0.0,0.0,0.0,0.003405252215111154
missile,0.01707821920603586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040725765709477,0.0,0.0,0.0,0.0,0.013275096668834186,0.0,0.0,0.0,0.01568710124339887,0.0033378412713321332
rod,0.0003184490582202068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003427664019573887,0.0,0.0,0.0,0.0,0.0003322715768635725,0.0,0.0,0.0,0.0,5.519372428006489e-05
flack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arm,0.01321121289811029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01486861197177128,0.0,0.0,0.0,0.0,0.014436882323919188,0.0,0.0,0.0,0.0,0.0023620392885444863
coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
killer,0.0,0.003772604366503146,0.0038953816282869553,0.0,0.0,0.0,0.0,0.0,0.00335299995150533,0.0,0.0,0.0,0.0,0.003395549478186753,0.0,0.0,0.0,0.0,0.0008009186346934548
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
