,context,n_concepts,mean_tfidf,mean_diff,evidence
0,flavor,11,0.02,0.02,-
1,sweet,11,0.02,0.01,-
2,include,11,0.01,0.0,-
3,taste,11,0.01,0.01,-
4,abundance,11,0.0,0.0,-
5,brand,11,0.02,0.02,-
6,grown,10,0.01,0.01,-
7,local,10,0.01,0.0,-
8,abundant,10,0.01,0.01,-
9,such,10,0.01,0.0,-
10,quality,10,0.02,0.01,-
11,kinds,10,0.0,0.0,-
12,distributed,10,0.0,0.0,-
13,besides,10,0.0,0.0,-
14,locally,10,0.0,0.0,-
15,inc,10,0.0,0.0,-
16,contains,10,0.01,0.0,-
17,typically,10,0.01,0.0,-
18,growing,10,0.01,0.0,-
19,content,10,0.01,0.0,-
20,cold,7,0.02,0.02,-
