,animal,mammal,no-cat,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
wren,0.018634799731054783,0.0,0.0,0.0,0.0,0.0,0.02238458267856613,0.021091602666557803,0.0,0.0,0.0,0.022403933380553614,0.0,0.006501147573594795
brant,0.005225233093982214,0.0,0.0,0.0,0.0,0.0,0.0067542909792938045,0.006370099589279589,0.0,0.0,0.0,0.00677591291018908,0.0,0.0019327335825188223
stork,0.05316661030755743,0.0,0.0,0.0,0.0,0.0,0.06651505314584885,0.06492566281658735,0.0,0.0,0.0,0.06668441542346215,0.0,0.019330133976419677
eider,0.01761918232941841,0.0,0.0,0.0,0.0,0.0,0.03539483889851574,0.01947295210931642,0.0,0.0,0.0,0.0351158973621689,0.0,0.008277143899955344
beetle,0.00010914908126312125,0.0,0.00017453712528739488,0.0,0.0,0.0,0.00014178302499699678,0.0,0.0,0.0,0.0,0.00014212320968910315,0.0,4.366095701820124e-05
oriole,0.0057007524995556546,0.0,0.0,0.0,0.0,0.0,0.007953222835896176,0.006062206727927156,0.0,0.0,0.0,0.007972681724391157,0.0,0.0021299125990592417
bat,0.005207070610770724,0.005414450318732929,0.0,0.0,0.0,0.0,0.006416334437772284,0.0,0.0,0.0,0.0,0.0064259459564440435,0.0,0.0018049077941323063
sawfly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accentor,0.036942871441998176,0.0,0.0,0.0,0.0,0.0,0.07179955754257585,0.030436343904797675,0.0,0.0,0.0,0.07202986001497208,0.0,0.01624681791571875
babbler,0.012595961487182259,0.0,0.0,0.0,0.0,0.0,0.01696130053191217,0.016382466272850518,0.0,0.0,0.0,0.017013148598320964,0.0,0.004842528991558916
nightingale,0.011258699427018671,0.0,0.0,0.0,0.0,0.0,0.013716687789104235,0.01025056978489476,0.0,0.0,0.0,0.013719547297062856,0.0,0.00376503879216004
falcon,0.008380589559965021,0.0,0.0,0.0,0.0,0.0,0.010315596707315198,0.0095621970638321,0.0,0.0,0.0,0.010337737800959583,0.0,0.002968932394774762
tit,0.020705464288292667,0.0,0.0,0.0,0.0,0.0,0.024054071432752053,0.024177336296052027,0.0,0.0,0.0,0.024099160877808792,0.0,0.007156617914992734
tortrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pintail,0.009106069487148368,0.0,0.0,0.0,0.0,0.0,0.02176300847331105,0.008826309139917627,0.0,0.0,0.0,0.021856880748646168,0.0,0.004734789834540247
grasshopper,0.008669380849934542,0.0,0.0,0.0,0.01343119607294285,0.0,0.011382859650681176,0.0,0.0,0.0,0.010272755212858397,0.011399077880480243,0.0,0.004242713051299785
trogon,0.012524264260689979,0.0,0.0,0.0,0.0,0.0,0.015062111829045238,0.016485214312831394,0.0,0.0,0.0,0.015104285528874254,0.0,0.004551990456264682
cock,0.02224106451706031,0.0,0.0,0.0,0.0,0.0,0.02925780001096984,0.02378806716384527,0.0,0.0,0.0,0.029354049990177128,0.0,0.008049306283234811
canary,0.007592242292651697,0.0,0.0,0.0,0.0,0.0,0.009020400194177292,0.007102689590503578,0.0,0.0,0.0,0.0090221773903971,0.0,0.002518269959056129
insect,0.01267440351991166,0.0,0.0,0.0,0.0,0.0,0.014021190417377333,0.0,0.0,0.0,0.0,0.01406545314107799,0.0,0.0031354651598743833
merganser,0.013206033266174443,0.0,0.0,0.0,0.0,0.0,0.017592304658830948,0.017112484378174152,0.0,0.0,0.0,0.01763962806466033,0.0,0.005042342335987683
sparrow,0.030314016330697933,0.0,0.0,0.0,0.0,0.0,0.04199636489808565,0.03674329953295018,0.0,0.0,0.0,0.042106551259522784,0.0,0.011627710155481273
hawk,0.008325066919001204,0.0,0.0,0.0,0.0,0.0,0.010812813978908663,0.009153300231010917,0.0,0.0,0.0,0.01087879052744002,0.0,0.003013074742796985
