,reptile,food,fish,communication,plant,no-cat,vehicle,all,mammal,relation,bird,object,measure,animal,mean
snake,0.00422287311635843,0.0,0.0,0.0,0.0,0.0,0.0,0.0032775274887636547,0.0,0.0,0.0,0.0032801314614015874,0.0,0.0032801314614015874,0.0010043331091375185
serpent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perch,0.0,0.036532060875120335,0.03865604512255761,0.0,0.0,0.0,0.0,0.038046887379262075,0.0,0.0,0.0,0.03804401922407166,0.03503435697695133,0.03804401922407166,0.016025527771573907
hake,0.0,0.08737416704961737,0.08407987469951467,0.0,0.0,0.0,0.0,0.06956482666324257,0.0,0.0,0.0,0.06956482666324257,0.0,0.06956482666324257,0.02715346583848998
coho,0.0,0.02423318783166846,0.025085609105985195,0.0,0.0,0.0,0.0,0.023083109765889648,0.0,0.0,0.0,0.023083109765889648,0.0,0.023083109765889648,0.008469151873951614
herring,0.0,0.08738003510502923,0.07821715793030766,0.0,0.0,0.0,0.0,0.08243127547046339,0.0,0.0,0.0,0.08242275970350454,0.0,0.08242275970350454,0.029490999136629243
fish,0.0,0.05227080376457401,0.047017477378490914,0.0,0.0,0.0,0.0,0.05249404261393413,0.0,0.0,0.0,0.05249108938469082,0.0,0.05249108938469082,0.018340321609027193
croaker,0.0,0.03059000483612302,0.027482929161994178,0.0,0.0,0.0,0.0,0.03132658415447173,0.0,0.0,0.0,0.03132658415447173,0.0,0.03132658415447173,0.010860906175823743
sardine,0.0,0.12403951733494405,0.1129758440698293,0.0,0.0,0.0,0.0,0.1302791355523822,0.0,0.1006277999950619,0.0,0.13026521090794024,0.0,0.13026521090794024,0.052032337054864146
catfish,0.0,0.030353485916324363,0.027587617670554353,0.0,0.0,0.0,0.0,0.02753757097580739,0.0,0.0,0.0,0.027507492310887897,0.0,0.027507492310887897,0.010035261370318708
sunfish,0.0,0.022780087044201144,0.019646570678494353,0.0,0.0,0.0,0.0,0.022587473213542174,0.0,0.0,0.0,0.022587473213542174,0.0,0.022587473213542174,0.00787064838309443
haddock,0.0,0.02760766358258006,0.027376595985700573,0.0,0.0,0.0,0.0,0.020697605236621,0.0,0.0,0.0,0.020697605236621,0.0,0.020697605236621,0.008362648234153117
trout,0.0,0.24455564538800575,0.22761224098080918,0.0,0.0,0.0,0.0,0.23771327799093026,0.0,0.0,0.0,0.23771597109873793,0.0,0.23771597109873793,0.08466522189694436
crab,0.0,0.06857842495701166,0.0,0.0,0.0,0.0,0.0,0.053276257816318326,0.0,0.0,0.0,0.053276257816318326,0.0,0.053276257816318326,0.016314799886140475
albacore,0.0,0.03984898133652669,0.033716400065244935,0.0,0.0,0.0,0.0,0.030465553954618512,0.0,0.0,0.0,0.030465553954618512,0.0,0.030465553954618512,0.01178300309040194
duckling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shad,0.0,0.09658831344134208,0.07915967739706803,0.0,0.0,0.0,0.0,0.08360765398584839,0.0,0.0,0.0,0.08360145333313614,0.0,0.08360145333313614,0.030468467963609337
bass,0.0,0.149701366481283,0.17348234042785654,0.174620695767481,0.0,0.0,0.0,0.15412402044800927,0.0,0.0,0.0,0.1541241805552651,0.0,0.1541241805552651,0.06858405601679715
shrimp,0.0,0.030017851160466062,0.0,0.0,0.0,0.0,0.0,0.024659322798504597,0.0,0.0,0.0,0.024659322798504597,0.0,0.024659322798504597,0.007428272825427132
octopus,0.0,0.03205379890940387,0.0,0.0,0.0,0.0,0.0,0.02825889120711671,0.0,0.0,0.0,0.028257406195001746,0.0,0.028257406195001746,0.008344821607608863
cod,0.0,0.04347069537701415,0.04361241817597416,0.0,0.0,0.0,0.0,0.04805825946420923,0.0,0.0,0.0,0.04805838851264972,0.0,0.04805838851264972,0.01651843928874978
bluefish,0.0,0.05198701992301568,0.05062983360258839,0.0,0.0,0.0,0.0,0.05002885889214245,0.0,0.0,0.0,0.05002885889214245,0.0,0.05002885889214245,0.018050245014430817
whiting,0.0,0.026523541306021622,0.02562645663749831,0.0,0.0,0.0,0.0,0.026175980541408652,0.0,0.0,0.0,0.026174396222848575,0.0,0.026174396222848575,0.00933391220933041
dog,0.0,0.002990590825115878,0.0,0.0,0.0,0.0037684352199720116,0.0,0.0031131637866460447,0.0028855301362782277,0.0,0.0,0.0031131754064693184,0.0,0.0031131754064693184,0.0013560050557822
duck,0.0,0.0012159997949949103,0.0,0.0,0.0,0.0,0.0,0.001230124736133593,0.0,0.0,0.0013612600608841612,0.0012301254265450546,0.0012314258207409097,0.0012301254265450546,0.0005356472332745489
bluefin,0.0,0.05935228861446658,0.050326176131706334,0.0,0.0,0.0,0.0,0.04456233543247272,0.0,0.0,0.0,0.04456234888724605,0.0,0.04456234888724605,0.01738324985379555
rockfish,0.0,0.053753497598442966,0.05123892542613749,0.0,0.0,0.0,0.0,0.05347146449599417,0.0,0.0,0.0,0.05347146449599417,0.0,0.05347146449599417,0.01895762975089735
plaice,0.0,0.1242655237632041,0.11910249374564269,0.0,0.0,0.0,0.0,0.13505339549887763,0.0,0.0,0.0,0.13505339549887763,0.0,0.13505339549887763,0.04632344314324855
partridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.0,0.0002364017862634176,0.0,0.0,0.0,0.0,0.0,0.0002746251792204486,0.0,0.0,0.0003074233901516806,0.0002746251792204486,0.0,0.0002746251792204486,9.769290814831741e-05
stock,0.0,0.0002376252065700083,0.0,0.000531076539183436,0.0005114794333874522,0.0,0.0,0.000316806939954289,0.00041201438198383106,0.00042428330965116215,0.0,0.000316806939954289,0.0,0.000316806939954289,0.00021906426361705406
beef,0.0,0.00039962404145279097,0.0,0.0,0.0,0.0,0.0,0.0005053362930365142,0.000597852484592766,0.0,0.0,0.0005053362930365142,0.0,0.0005053362930365142,0.00017953467179679283
sturgeon,0.0,0.0,0.08095731348793972,0.0,0.0,0.0,0.0,0.07116113008028334,0.0,0.0,0.0,0.0711619140914527,0.0,0.0711619140914527,0.02103159083936632
runner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shark,0.0,0.0,0.09252114378982612,0.0,0.0,0.0,0.0,0.08563712118107465,0.0,0.0,0.0,0.08566988778683675,0.0,0.08566988778683675,0.024964145753183876
bullhead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seahorse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
largemouth,0.0,0.0,0.02879291151980651,0.0,0.0,0.0,0.0,0.02874120708603873,0.0,0.0,0.0,0.02874120708603873,0.0,0.02874120708603873,0.008215466626994478
sweeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drum,0.0,0.0,0.0010962841224285236,0.0,0.0,0.0,0.0,0.0013793387858276323,0.0,0.0,0.0,0.0013793387858276323,0.0,0.0013793387858276323,0.0003738786057079586
thresher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roach,0.0,0.0,0.0005135179766349378,0.0,0.0,0.0,0.0,0.0005971203633880163,0.0,0.0,0.0,0.0005971203633880163,0.0,0.0005971203633880163,0.00016463421905707048
seal,0.0,0.0,0.0,0.0060718728206065765,0.0,0.0,0.0,0.006083747573348786,0.005656150367933827,0.005489673488235369,0.0,0.00608403965946368,0.0,0.00608403965946368,0.0025335373977894227
pony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
