,reptile,food,fish,communication,plant,no-cat,vehicle,all,mammal,relation,bird,object,measure,animal,mean
retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001743033466309478,0.0021528438893969907,0.0,0.0,0.001743033466309478,0.0,0.001743033466309478,0.0005272817348803874
primate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009067487407589456,0.0010978778089209616,0.0,0.0,0.0009067465938168797,0.0,0.0009067465938168797,0.0002727228383795476
gander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009732286768000639,0.0009688290470129555,0.0013131583005167324,0.0,0.0009732286768000639,0.0,0.0009732286768000639,0.0003715480984235628
bat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006910960605150802,0.0006786796687763309,0.0,0.0,0.0006910960605150802,0.0,0.0006910960605150802,0.00019656913216582658
livestock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squirrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016549514876011047,0.0,0.0,0.0019769378189367637,0.0016549514876011047,0.0,0.0016549514876011047,0.0004958423058385769
sparrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003757642144866155,0.0,0.0,0.003676818330828361,0.003757642144866155,0.0,0.003757642144866155,0.001067838911816202
chamois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meadowlark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bonobo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00679036898532695,0.0,0.0,0.006850810499592486,0.00679036898532695,0.0,0.00679036898532695,0.0019444226753980952
eagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647203275014034,0.0,0.0,0.0019758625660126978,0.001647203275014034,0.002639011105954647,0.001647203275014034,0.0006826059640721034
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007658329056211511,0.0,0.0,0.000994747169687916,0.0007658329056211511,0.0,0.0007658329056211511,0.000235160420467955
skylark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013793843414263616,0.0,0.0,0.0012094495784641943,0.0013793843414263616,0.0,0.0013793843414263616,0.00038197161448166276
buzzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03405041637349379,0.0,0.0,0.029717780681777776,0.03405041637349379,0.0,0.03405041637349379,0.009419216414447082
cockatoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
springbok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013260540214430894,0.0012711795898748216,0.0,0.0,0.0013260540214430894,0.0,0.0013260540214430894,0.0003749529753002922
bunting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015835409195170671,0.0,0.0,0.0021005475412100953,0.0015835409195170671,0.0,0.0015835409195170671,0.0004893693071258069
lion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004423802681231382,0.004354798552418954,0.0,0.0,0.004423802681231382,0.0,0.004423802681231382,0.0012590147568652212
colobus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
