,context,n_concepts,mean_tfidf,mean_diff,evidence
0,heavy,45,0.01,0.01,-
1,slipped,38,0.01,0.0,-
2,lined,38,0.02,0.02,-
3,down,37,0.02,0.01,-
4,under,37,0.02,0.01,-
5,32,37,0.0,0.0,-
6,covered,36,0.03,0.02,-
7,room,36,0.02,0.02,-
8,dark,36,0.03,0.03,-
9,tan,36,0.02,0.01,-
10,lean,35,0.01,0.0,-
11,blanket,35,0.02,0.02,-
12,heated,35,0.01,0.01,-
13,traditional,35,0.02,0.02,-
14,instead,35,0.01,0.0,-
15,outer,34,0.01,0.01,-
16,wool,34,0.07,0.07,-
17,faded,34,0.01,0.01,-
18,climbed,34,0.0,0.0,-
19,entered,34,0.0,0.0,-
20,warm,34,0.02,0.02,-
