,food,female,fish,communication,no-cat,vehicle,all,mammal,relation,bird,object,measure,animal,mean
grasshopper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bird,0.07127212823658827,0.09188300251230919,0.0,0.0643717165640774,0.0,0.0,0.07121381417300242,0.0,0.0,0.06933750186077789,0.07111401486980412,0.0,0.0610100390377002,0.03847709363494304
chicken,0.0011373342658328545,0.0,0.0,0.0,0.0,0.0,0.0009526015404724311,0.0,0.0,0.0010666637635977309,0.0009511270925888593,0.0,0.0008482462183023649,0.00038122868313801854
hen,0.03767822146569277,0.0,0.0,0.0,0.0,0.0,0.038803606196198714,0.0,0.0,0.0369431117344427,0.03875556982107306,0.0,0.030528297469774493,0.014054523591321673
fowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duck,0.0013252506147124101,0.0,0.0,0.0,0.0,0.0,0.0014846333483270451,0.0,0.0,0.0014980377752685239,0.0014833446794333919,0.0016656476628073048,0.00105296579242286,0.0006546061440747334
quail,0.013165982097973782,0.0,0.0,0.0,0.0,0.0,0.01072549829455391,0.0,0.0,0.00996478795170407,0.01072149925831167,0.0,0.009667479913631694,0.004172711347398087
emperor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0012208322828662912,0.0,0.0,0.0,0.0,0.0,0.0007795662660697932,0.0,0.0,0.0,0.0007795662660697932,0.0,0.0007512773892795914,0.00027163401571426684
cat,0.0,0.0013022575072355108,0.0,0.0,0.0,0.0,0.0010644358593510101,0.0012394884170617295,0.0,0.0,0.0010644358593510101,0.0,0.001005892868237482,0.0004366546547105187
roach,0.0,0.0,0.0012013237915508006,0.0,0.0,0.0,0.0008775200630607756,0.0,0.0,0.0,0.0008745340922973426,0.0,0.0007707676330449656,0.0002864727369195296
thrasher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus,0.0,0.0,0.0,0.0006740450711689259,0.0,0.0,0.0004799468452891865,0.0,0.0,0.0,0.0004799468452891865,0.0,0.0,0.00012568759705748454
