,all,relation,weapon,mammal,no-cat,animal,food,cutlery,object,medication,communication,fish,criminal,vehicle,measure,reptile,tool,mean,median
bayonet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gunman,0.011557390974627168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012754871912084959,0.0,0.0,0.0,0.01287941019374939,0.0,0.0,0.0,0.0,0.002187745475321266,0.0
bolo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coyote,0.0032790105784953017,0.0,0.0,0.0040075044817395634,0.0,0.004014111823460155,0.0,0.0,0.003627592868271435,0.0,0.0,0.0,0.005403564697797086,0.0,0.0,0.0,0.0,0.001195987320574326,0.0
sniper,0.02825656810908574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03140503814426614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003509506250197169,0.0
revolver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot,0.0015171398466160913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001683401182932572,0.0,0.001536176986118747,0.0,0.0,0.0,0.0,0.0,0.0,0.00027863047150984764,0.0
henchman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neurotoxin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hammer,0.0005300282452411774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005758587864754337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005694354408815751,9.854838074106978e-05,0.0
handgun,0.003099074586156086,0.0,0.003788107266864823,0.0,0.0,0.0,0.0,0.0,0.003534273087637881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006130267612152229,0.0
gang,0.002357744023211675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00257008056121894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002605419808629945,0.00044313202312120937,0.0
knife,0.010814806309093303,0.0,0.010990753631699147,0.0,0.0,0.0,0.0,0.012563580451441275,0.012018268498086515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011640482400103454,0.0034134053700249235,0.0
scorpion,0.004343127995582735,0.0,0.0,0.0,0.0,0.00457196015379724,0.0,0.0,0.004654780474913332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007982275661349004,0.0
mallet,0.008703238254615902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009705119960846765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006749833479053134,0.0014798936290891648,0.0
harpoon,0.003913289917411017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004358956050047111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004866027039681252,0.0
buckshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snake,0.007189012103160973,0.0,0.0,0.0,0.0,0.007796887539908866,0.0,0.0,0.007796237789132106,0.0,0.0,0.0,0.0,0.0,0.0,0.009871481541133941,0.0,0.0019208011160785812,0.0
alligator,0.056905355790083274,0.052526460150669446,0.0,0.0,0.0,0.058250473497133644,0.0,0.0,0.06329558945106316,0.0,0.0,0.0,0.0,0.0,0.0,0.06550004540594774,0.0,0.017439877899699835,0.0
blade,0.001266526720347571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001422350870408384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013112637587110205,0.00023530243232158676,0.0
club,0.0024514913715292146,0.0023206050992517755,0.0,0.0,0.0,0.0,0.0,0.0,0.0026908330111761283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004389958518798305,0.0
traitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shotgun,0.009584836442642552,0.0,0.009981731540840304,0.0,0.0,0.0,0.0,0.0,0.010650965200269811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017775019519854513,0.0
sword,0.0017367960967713371,0.0,0.0018977122019180918,0.0,0.0,0.0,0.0,0.0,0.0019520454650346368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003286208096308274,0.0
killer,0.002216052617546647,0.0,0.0,0.0026626831834644427,0.0,0.002407500159987234,0.0,0.0,0.002480668468979214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005745237899986786,0.0
racketeer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hijacker,0.0010337100886730255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011407611361977648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012791007205122297,0.0
poison,0.01125383357316107,0.0,0.0,0.0,0.010552428446324681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012827212952638677,0.0
weapon,0.008605764171797372,0.0,0.008547929229211397,0.0,0.0,0.0,0.0,0.0,0.009316192846489324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015570521322057702,0.0
attack,0.03764819728483314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03483256947516782,0.0,0.0,0.0,0.0,0.0,0.0,0.004263574515294174,0.0
nightstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
looter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hippopotamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
