,context,n_concepts,mean_tfidf,mean_diff,evidence
0,wine,26,0.03,0.03,-
1,plenty,26,0.0,0.0,-
2,sweetness,25,0.01,0.01,-
3,plums,23,0.01,0.0,-
4,concentrated,23,0.01,0.01,-
5,depending,23,0.0,0.0,-
6,cherry,23,0.06,0.05,-
7,plum,23,0.03,0.03,-
8,vibrant,23,0.0,0.0,-
9,cocktail,22,0.01,0.01,-
10,intense,22,0.0,0.0,-
11,flavor,22,0.03,0.02,-
12,popular,21,0.01,0.0,-
13,cider,21,0.01,0.01,-
14,apple,21,0.03,0.02,-
15,slightly,20,0.0,0.0,-
16,lovely,20,0.01,0.0,-
17,berry,20,0.01,0.01,-
18,lemonade,20,0.01,0.01,-
19,blueberry,20,0.02,0.02,-
20,red,19,0.05,0.04,-
