,context,n_concepts,mean_tfidf,mean_diff,evidence
0,killing,47,0.02,0.01,-
1,kills,46,0.02,0.02,-
2,attack,44,0.02,0.01,-
3,weapon,44,0.03,0.03,-
4,gun,44,0.03,0.03,-
5,kill,43,0.02,0.02,-
6,killed,42,0.03,0.02,-
7,dangerous,41,0.01,0.01,-
8,target,41,0.01,0.01,-
9,were,41,0.01,0.01,-
10,earlier,41,0.0,0.0,-
11,while,41,0.01,0.01,-
12,weapons,41,0.02,0.02,-
13,enemy,40,0.02,0.02,-
14,firing,40,0.03,0.03,-
15,armed,40,0.02,0.02,-
16,shot,40,0.03,0.03,-
17,self,40,0.02,0.01,-
18,carries,39,0.01,0.01,-
19,capable,39,0.01,0.01,-
20,dangerous,41,0.01,0.01,-
