,mammal,animal,no-cat,bird,all,communication,relation,fish,object,food,measure,vehicle,mean
fowl,0.0,0.005074789727663541,0.0,0.005522076530666325,0.004591358505020059,0.0,0.0,0.0,0.004579211680560358,0.005186528277887196,0.0,0.0,0.0020794970601497897
goldcrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0,0.0011701251069977908,0.0,0.0014563314394244414,0.0010458978497198607,0.0,0.0,0.0,0.0010430315330284352,0.0,0.0,0.0,0.0003929488274308774
skylark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owl,0.0,0.001469986067217381,0.0,0.0018708276970750848,0.0012414513255034224,0.0,0.0,0.0,0.0012383998268568328,0.0,0.0,0.0,0.00048505540972106005
moorcock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuthatch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butterfly,0.0,0.0007053419891317201,0.0,0.0,0.0005989603757127539,0.0,0.0,0.0,0.0005968660428940554,0.0,0.0,0.0,0.00015843070064487744
loon,0.0,0.0035051071657399542,0.0,0.004025193388930969,0.003252565906914485,0.0,0.0,0.0,0.0032395418236266208,0.0,0.0,0.0,0.001168534023767669
snowbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duck,0.0,0.0035636696350789176,0.0,0.004680104490292336,0.0033365818421903833,0.0,0.0,0.0,0.0033211510512575356,0.003928818937770803,0.00463592821947911,0.0,0.0019555211813390904
robin,0.0,0.0014068056397946189,0.0,0.001341913400376602,0.0014144759667551528,0.0,0.0,0.0,0.001412079658956456,0.0,0.0,0.0,0.00046460622215690247
pheasant,0.0,0.007890277639803801,0.0,0.009205740579635193,0.0070447464069113225,0.0,0.0,0.0,0.0070295250658385456,0.008172686204422575,0.0,0.0,0.0032785813247176196
woodpecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quail,0.0,0.00482527453766427,0.0,0.005731342187718692,0.004208175918469973,0.0,0.0,0.0,0.004196504194996572,0.005115301732558853,0.0,0.0,0.00200638321428403
puffin,0.0,0.004677541850830095,0.0,0.005852046848489942,0.004352627633435949,0.0,0.0,0.0,0.004335715751221781,0.0,0.0,0.0,0.0016014943403314808
whitethroat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheepshead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skimmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lizardfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catfish,0.0,0.0016784663992808985,0.0,0.0,0.001543088276289978,0.0,0.0,0.0024254929483640787,0.001519345311784036,0.0016135281912028846,0.0,0.0,0.0007316600939101563
toadfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sunfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penguin,0.0,0.0030185861358937634,0.0,0.0030853494375595804,0.0028856721635321975,0.0,0.0,0.0,0.002845011392800165,0.0,0.0,0.0,0.0009862182608154754
haddock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
damselfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barnacle,0.0,0.004798953699410129,0.0,0.004976819688272718,0.004388951928149791,0.0,0.0,0.0,0.004325365087451273,0.0,0.0,0.0,0.0015408408669403259
