,reptile,food,communication,plant,fruit,no-cat,all,mammal,relation,bird,object,vegetable,measure,animal,mean
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snake,0.007206896815088366,0.0,0.0,0.0,0.0,0.0,0.005083294773983859,0.0,0.0,0.0,0.005186461027455036,0.0,0.0,0.004805213420000601,0.00159156185975199
lizard,0.004211761293814997,0.0,0.0,0.0,0.0,0.0,0.003421794453687133,0.0,0.0,0.0,0.0035443018922378063,0.0,0.0,0.003098864440225416,0.001019765862854668
alligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raisin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olive,0.0,0.0005905545708194839,0.0,0.0006421417400648071,0.0006608323597049567,0.0,0.00043658836979459405,0.0,0.0004025033884518698,0.0,0.00044195977239987986,0.0,0.0,0.0,0.0002267557286596851
cherry,0.0,0.0007332874071968132,0.0,0.0,0.0008406269020817329,0.0,0.0005427325781536403,0.0,0.0004955809653544302,0.0,0.0005581278753260204,0.0,0.0,0.0,0.00022645398057947406
bird,0.0,0.00047764507271998234,0.0006212483946064405,0.0,0.0,0.0006214540575141123,0.0004347285652376401,0.0,0.0,0.0004997976066883678,0.00044971206340103454,0.0,0.0,0.00043648530478186605,0.0002529336474963888
grape,0.0,0.0010685969742494493,0.0,0.0011929500346449975,0.0012101134912934086,0.0007371483300452695,0.0007974256562960827,0.0,0.0,0.0,0.0008123033327005121,0.0,0.0,0.0,0.0004156098442306943
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffee,0.0,0.0030056159751571275,0.0,0.0032673657571875283,0.003420876550100621,0.0,0.002336303101698924,0.0,0.0023066276374139674,0.0,0.002357372557236785,0.0,0.0,0.0,0.001192440112771068
rabbit,0.0,0.0012475867134746175,0.0,0.0,0.0,0.0,0.0010464873503193254,0.0008877897958750347,0.0010251965903982675,0.0,0.0010684846646243002,0.0,0.0,0.0009100699408987601,0.000441829646827879
dog,0.0,0.010849057584469841,0.0,0.0,0.0,0.011642111213775855,0.009301425682482217,0.008132700794948303,0.0,0.0,0.009546853084967591,0.0,0.0,0.008681809920119741,0.004153854162911682
