,context,n_concepts,mean_tfidf,mean_diff,evidence
0,ash,10,0.04,0.04,-
1,cedar,9,0.03,0.03,-
2,trees,9,0.1,0.1,-
3,heights,9,0.0,0.0,-
4,branch,9,0.02,0.02,-
5,abundant,9,0.01,0.0,-
6,park,9,0.02,0.01,-
7,rare,9,0.0,0.0,-
8,northern,9,0.0,0.0,-
9,sycamore,9,0.07,0.07,-
10,oaks,9,0.01,0.01,-
11,willow,9,0.03,0.02,-
12,plantation,9,0.01,0.01,-
13,tall,9,0.01,0.0,-
14,forest,9,0.02,0.02,-
15,tree,9,0.07,0.07,-
16,gardens,8,0.0,0.0,-
17,inland,8,0.0,0.0,-
18,douglas,8,0.04,0.04,-
19,trunk,8,0.0,0.0,-
20,green,6,0.06,0.05,-
