,animal,fruit,plant,round,measure,relation,object,bird,food,all,mean
world,0.0006692533402415149,0.0,0.0,0.0,0.0,0.0,0.000646251429345748,0.0,0.0,0.0006362412098635175,0.00019517459794507805
pen,0.0010338832004552006,0.0,0.0,0.0,0.0,0.0,0.0011094061243743115,0.0010338832004552006,0.0,0.001070101953300376,0.00042472744785850887
chicken,0.004876448830940282,0.0,0.0,0.0,0.0,0.0,0.004480526405602843,0.004690502381780039,0.00477092827492276,0.004813756287436818,0.0023632162180682744
lemon,0.0,0.033647293978992576,0.036427009685780776,0.0,0.0,0.0,0.0338464633865775,0.0,0.03687983694844816,0.03621445167574054,0.017701505567553955
fruit,0.0,0.20140881915364955,0.0,0.0,0.0,0.0,0.1954811443110948,0.0,0.0,0.19994708441002296,0.059683704787476734
berry,0.0,0.07818532236209084,0.0,0.0,0.0,0.0,0.07900396316340016,0.0,0.07679870521006443,0.07770681679352485,0.03116948075290803
gourd,0.0,0.020877852108545706,0.020489154253555516,0.0,0.0,0.0,0.020188109659840137,0.0,0.0,0.02135647933298283,0.008291159535492419
pecan,0.0,0.01714223724109559,0.016313514933557066,0.0,0.0,0.01551551417038989,0.016979530283529047,0.0,0.0,0.016705701636891356,0.008265649826546295
peanut,0.0,0.005611122636714067,0.006768219488771243,0.0,0.0,0.0,0.006539170490020046,0.0,0.0,0.0072296441719735755,0.0026148156787478933
apple,0.0,0.033453676817365816,0.03607049323831497,0.0,0.0,0.0,0.0337210955786912,0.0,0.03276400158144684,0.03357974873517798,0.01695890159509968
watermelon,0.0,0.05646941445935681,0.056100487242070896,0.0,0.0,0.0,0.054591230654635635,0.0,0.05696552210149368,0.056807539929517266,0.02809341943870743
cherry,0.0,0.03804139735901148,0.03834817265006168,0.0,0.0,0.03275773580047637,0.03645621333536664,0.0,0.032344381797808,0.035535157585250436,0.02134830585279746
orange,0.0,0.038345897939330215,0.03986573393815191,0.0,0.0,0.03880669086388334,0.039533176286892464,0.0,0.038130370080692075,0.03967852071422387,0.023436038982317383
melon,0.0,0.08294750008229021,0.0844924439949617,0.0,0.0,0.0,0.08432887519213014,0.0,0.08242289638951589,0.08480335512537204,0.041899507078427004
cantaloupe,0.0,0.045592577576899884,0.04114195876617766,0.0,0.0,0.0,0.04256341004203353,0.0,0.04274682748881099,0.043811878463631035,0.021585665233755314
blueberry,0.0,0.03862701547799541,0.03795660803186836,0.0,0.0,0.0,0.03247079033396844,0.0,0.03573867472341009,0.033488471697828016,0.01782815602650703
pineapple,0.0,0.12605425917259722,0.12151857121956323,0.0,0.0,0.0,0.11781389047881066,0.0,0.1293793301903992,0.12415509277572749,0.061892114383709784
coconut,0.0,0.043066461480313185,0.040151051209091994,0.0,0.0,0.0,0.03976221716612943,0.0,0.04153880500401051,0.04249761907634823,0.020701615393589334
nutlet,0.0,0.40865944381752334,0.0,0.0,0.0,0.0,0.43404648424121745,0.0,0.0,0.4637832309217352,0.13064891589804759
sapodilla,0.0,0.2167311315926137,0.19468267293361305,0.0,0.0,0.0,0.17310189209964572,0.0,0.18479009230106433,0.18142437256205365,0.09507301614889904
nut,0.0,0.1954320650657029,0.0,0.0,0.19924136003553283,0.0,0.16540768010264914,0.0,0.0,0.1636734707455166,0.07237545759494016
bean,0.0,0.0052897996070326615,0.005555872978570314,0.0,0.0,0.0,0.005343309159267402,0.0,0.005633550988791604,0.005473699855113395,0.002729623258877538
almond,0.0,0.042168296400405474,0.0409475872517228,0.0,0.0,0.0,0.04976396187530767,0.0,0.0,0.04817006172435096,0.01810499072517869
cabbage,0.0,0.0,0.005241994664803919,0.0,0.006913535166250209,0.0,0.005509389677722523,0.0,0.006154487094575007,0.006020872425075772,0.002984027902842743
box,0.0,0.0,0.00027903191775349273,0.0,0.00033004326621764734,0.0,0.00028410301520536845,0.0,0.0,0.000272681613974106,0.00011658598131506146
pumpkin,0.0,0.0,0.02833705144421089,0.0,0.0,0.0,0.029295200691918547,0.0,0.028080016584400905,0.029661689817727047,0.011537395853825738
cheese,0.0,0.0,0.018665366300442836,0.0,0.0,0.0,0.0184929445459084,0.0,0.023012963829682105,0.021169416210935193,0.008134069088696853
beet,0.0,0.0,0.0028445082807748924,0.0,0.0,0.0,0.0025820250744029065,0.0,0.002850861531059505,0.002788091090808016,0.0011065485977045319
tomato,0.0,0.0,0.04708775699575845,0.0,0.0,0.0,0.04449088579253693,0.0,0.05907720150814482,0.053257275913656615,0.020391312021009682
vegetable,0.0,0.0,0.4637474142679443,0.0,0.0,0.0,0.46226939964039593,0.0,0.47266191034417304,0.4724192344746923,0.18710979587272056
onion,0.0,0.0,0.0019533673078476117,0.0,0.0,0.0,0.001971409996577577,0.0,0.0024738365352532997,0.002262194823251411,0.0008660808662929901
potato,0.0,0.0,0.004885813718067278,0.0,0.0,0.0,0.005158738279463322,0.0,0.006378674532597279,0.005852164993953989,0.0022275391524081865
cube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
popcorn,0.0,0.0,0.0026193775411891876,0.0,0.0,0.0,0.0031968717352618336,0.0,0.0030731485070947234,0.0032224542888997605,0.0012111852072445503
frisbee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cds,0.0,0.0,0.0,0.0012868924803581807,0.0,0.0,0.0,0.0,0.0,0.0009871377482158837,0.00022740302285740644
enchiladas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bucket,0.0,0.0,0.0,0.0,0.0017299841622796972,0.0,0.0013474420651221897,0.0,0.0,0.0013059371284000823,0.0004383363355801969
barrel,0.0,0.0,0.0,0.0,0.00172964713802242,0.0,0.0013587811565122809,0.0,0.0,0.0013210683415809008,0.0004409496636115602
candle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dough,0.0,0.0,0.0,0.0,0.008767285398867907,0.0,0.0,0.0,0.009911318770598733,0.009378789678751408,0.002805739384821805
can,0.0,0.0,0.0,0.0,0.008084422906331533,0.0,0.00678195114234457,0.0,0.0,0.006745661513856922,0.0021612035562533025
bowl,0.0,0.0,0.0,0.0,0.004782683418958226,0.0,0.003960128850937204,0.0,0.0,0.003786939428893102,0.0012529751698788533
spoon,0.0,0.0,0.0,0.0,0.016829173108117695,0.0,0.013024990295642474,0.0,0.0,0.013264489712897844,0.004311865311665801
