,animal,fruit,plant,round,measure,relation,object,bird,food,all,mean
world,0.0007529100077717044,0.0,0.0,0.0,0.0,0.0,0.0008758478788404408,0.0,0.0,0.0009317208994496497,0.0002560478786061795
pen,0.0031016496013656016,0.0,0.0,0.0,0.0,0.0,0.004009465281088446,0.0031016496013656016,0.0,0.004178861052380774,0.0014391625536200423
chicken,0.0006966355472771831,0.0,0.0,0.0,0.0,0.0,0.0007872219693626282,0.0006700717688257199,0.0010435842938963705,0.00091986377924331,0.0004117377358605212
lemon,0.0,0.0,0.0,0.0,0.0,0.0,0.000849467371517314,0.0,0.0010828718352568895,0.0009820920513846478,0.0002914431258158851
fruit,0.0,0.0017260552913763525,0.0,0.0,0.0,0.0,0.0014359379318525918,0.0,0.0,0.0015870212692168217,0.00047490144924457656
berry,0.0,0.009212062249374297,0.0,0.0,0.0,0.0,0.007978754195062401,0.0,0.009073916236270806,0.008479733486106042,0.0034744466166813552
gourd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pecan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peanut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0,0.0031953963935256553,0.003840580438115384,0.0,0.0,0.0,0.0027608139129099494,0.0,0.0031382465262214366,0.0029706383064328386,0.0015905675577205264
watermelon,0.0,0.01443014394507721,0.015980409827849037,0.0,0.0,0.0,0.011957347168040639,0.0,0.014597507124313687,0.013444814433880006,0.007041022249916058
cherry,0.0,0.004990146620831746,0.005607450128892988,0.0,0.0,0.003936944584942629,0.004099047745983342,0.0,0.004254660728765455,0.004317243475754168,0.0027205493285170326
orange,0.0,0.001959775330647468,0.0022711773025097916,0.0,0.0,0.0018171156406036684,0.0017318236202011118,0.0,0.0019541937943232694,0.0018781674005792037,0.0011612253088864515
melon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cantaloupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.0,0.004935356589516051,0.0,0.0,0.0,0.0,0.0035561069808100147,0.0,0.004579046585046826,0.00396290957336098,0.0017033419728733872
pineapple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coconut,0.0,0.002522017039177686,0.0026210158524292465,0.0,0.0,0.0,0.0019958780163251816,0.0,0.002439338442409445,0.002304967876987783,0.0011883217227329343
nutlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sapodilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nut,0.0,0.0015695597054592569,0.0,0.0,0.001138522057345902,0.0,0.001138655282533838,0.0,0.0,0.0012174517623732648,0.0005064188807712262
bean,0.0,0.004248359300896391,0.00497391350338467,0.0,0.0,0.0,0.0036782978859479358,0.0,0.004537049149649712,0.004071500106252026,0.0021509119946130735
almond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0,0.0,0.0041062987994763345,0.0,0.0034567675831251045,0.0,0.0033185482676258865,0.0,0.004337017483770221,0.003918690364175677,0.0019137322498173222
box,0.0,0.0,0.0,0.0,0.0009901297986529421,0.0,0.0010267666192674968,0.0,0.0,0.0010648504778655097,0.0003081746895785949
pumpkin,0.0,0.0,0.0,0.0,0.0,0.0,0.002520827252401546,0.0,0.0028268230734903965,0.0027579054488088214,0.0008105555774700764
cheese,0.0,0.0,0.0,0.0,0.0,0.0,0.0005180984049009605,0.0,0.0007542814070296729,0.000640843443802679,0.00019132232557333122
beet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.003278758689489966,0.0,0.0,0.0,0.0023821174896534623,0.0,0.0037005536054266594,0.0030811152967120245,0.0012442545081282111
vegetable,0.0,0.0,0.005204512452901095,0.0,0.0,0.0,0.00398918677862179,0.0,0.00477193468665927,0.004405078709765328,0.0018370712627947482
onion,0.0,0.0,0.0,0.0,0.0,0.0,0.0011874671445689607,0.0,0.001743292680691533,0.0014723515846047576,0.00044031114098652517
potato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
popcorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frisbee,0.0,0.0,0.0,0.002143087885791478,0.0,0.0,0.0,0.0,0.0,0.0019887198081682826,0.00041318076939597605
cds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enchiladas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bucket,0.0,0.0,0.0,0.0,0.0017299841622796972,0.0,0.0016232475074393154,0.0,0.0,0.0016999407660481208,0.0005053172435767134
barrel,0.0,0.0,0.0,0.0,0.0005765490460074733,0.0,0.0005456358588755743,0.0,0.0,0.0005732123647075911,0.00016953972695906387
candle,0.0,0.0,0.0,0.0,0.0017808453895978404,0.0,0.0017021112954744792,0.0,0.0,0.0018335237831281822,0.0005316480468200502
dough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can,0.0,0.0,0.0,0.0,0.00284451917074628,0.0,0.0028746775763267736,0.0,0.0,0.0030895548220425885,0.0008808751569115642
bowl,0.0,0.0,0.0,0.0,0.0012876455358733685,0.0,0.0012844247107938332,0.0,0.0,0.001327163931559241,0.00038992341782264424
spoon,0.0,0.0,0.0,0.0,0.002404167586873956,0.0,0.002241578806359147,0.0,0.0,0.0024666300996112832,0.0007112376492844387
lolly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bread,0.0,0.0,0.0,0.0,0.0009524843352434384,0.0,0.0,0.0,0.0014464868656227307,0.0012442756209050288,0.00036432468217711977
bottle,0.0,0.0,0.0,0.0,0.0012106923989456577,0.0,0.0013659332519045343,0.0,0.0,0.0014670668883887475,0.000404369253923894
drumstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marble,0.0,0.0,0.0,0.0,0.0,0.0036792200734043156,0.0033688502489636948,0.0,0.0,0.003525114366704563,0.0010573184689072574
chocolate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circle,0.0,0.0,0.0,0.0,0.0,0.0019642412259877878,0.0018504770745542043,0.0,0.0,0.001975462211228912,0.0005790180511770904
soup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
room,0.0,0.0,0.0,0.0,0.0,0.0015016909646623157,0.0012859847570436793,0.0,0.0,0.0013732514084705924,0.00041609271301765876
egg,0.0,0.0,0.0,0.0,0.0,0.0,0.001977311388837932,0.0,0.002509032143823782,0.002230736882031754,0.0006717080414693468
disk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banjo,0.0,0.0,0.0,0.0,0.0,0.0,0.0009499143365720243,0.0,0.0,0.0009880014866283056,0.000193791582320033
button,0.0,0.0,0.0,0.0,0.0,0.0,0.002128014683316449,0.0,0.0,0.0022477063942889486,0.00043757210776053975
tray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
table,0.0,0.0,0.0,0.0,0.0,0.0,0.001451814481806377,0.0,0.0015349039298663651,0.0015262087662929842,0.0004512927177965726
