,animal,fruit,plant,round,measure,relation,object,bird,food,all,mean
tart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basketball,0.0,0.0,0.0,0.0,0.0,0.0,0.0006166932313013316,0.0,0.0,0.000648654845592589,0.00012653480768939207
baseball,0.0,0.0,0.0,0.0,0.0,0.0,0.00015419665433310655,0.0,0.0,0.00016577737984300268,3.199740341761092e-05
globe,0.0,0.0,0.0,0.0,0.0,0.0,0.000699217421938839,0.0,0.0,0.0007083863740275538,0.0001407603795966393
cookie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bracelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0014826650275644542,0.0,0.0,0.0015314206137522226,0.0003014085641316677
shape,0.0,0.0,0.0,0.0,0.0,0.0,0.00657472453308027,0.0,0.0,0.006919675438965501,0.0013494399972045772
butter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0012154924345042753,0.0,0.0,0.0012931574397877618,0.0002508649874292037
disc,0.0,0.0,0.0,0.0,0.0,0.0,0.0002142178739173784,0.0,0.0,0.0002241695685554138,4.383874424727922e-05
cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plunger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hubcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0019799759085640323,0.0,0.0,0.002062825678108286,0.0004042801586672319
ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0025376330858924464,0.0,0.0,0.002688043024090186,0.0005225676109982633
ashtray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
planet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dresser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0007267948566914511,0.0,0.0,0.0007821334992471925,0.00015089283559386436
fondant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006996590190429803,0.0006605932637747336,0.00013602522828177137
pastry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011781672566462552,0.0010680472110723073,0.00022462144677185626
vinaigrette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pancake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002318737251648678,0.0020491888580380546,0.0004367926109686733
marzipan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omelette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheeseburger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doughnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007922768409458979,0.006983006880120476,0.0014905775289579455
dessert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pudding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0240764390246904,0.02140803715858792,0.004548447618327832
patty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condiment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sauce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matzah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
custard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mozzarella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepperoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
popsicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biscuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023508210214559983,0.002169725478561447,0.0004520546500017445
samosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seasoning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mayonnaise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coleslaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marshmallow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cornmeal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
