relation,prop-specific,n_pairs
pos,0.03867612311390681,1766
neg,0.004954783239919338,1186
all,0.09326924245460648,1021
some,,745
few,,1186
evidence,0.03396728882739401,1054
no_evidence_pos,,342
no_evidence_neg,0.1112032768065373,1082
implied_category,0.01228275727424676,16
typical_of_concept,0.005079451464508835,4
affording_activity,0.00968520364025912,4
afforded_usual,0.0,3
afforded_unusual,0.0018372062111277733,20
variability_limited,0.012680459784670176,111
variability_open,,77
variability_limited_scalar,0.08208455746228248,1
variability_open_scalar,0.005317787422042932,95
rare,0.002003392153734071,19
unusual,,81
impossible,,307
creative,0.001614917247141993,23
