,rel,strength,label,rel_names
381,22.85,0.00018674814860575304,function-action,unusual
382,23.45,9.896997063269147e-05,color,unusual
383,23.45,0.0025716782178214987,color,unusual
384,23.45,0.0006220807122440415,color,unusual
385,23.45,0.0004342726254705968,color,unusual
386,22.85,0.0,function-action,unusual
387,23.45,0.0,color,unusual
388,22.85,0.0,function-action,unusual
389,22.95,6.64359905211564e-05,taste,unusual
390,22.85,0.0,function-action,unusual
391,23.45,0.0,color,unusual
392,23.0,0.0006452173182061552,temperature,unusual
393,22.85,0.0,function-action,unusual
394,23.4,0.0,shape,unusual
395,22.95,0.015559323867550452,taste,unusual
396,23.45,0.0008485721515071631,color,unusual
397,22.85,0.0,function-action,unusual
398,22.8,0.0,material,unusual
399,22.85,0.0,function-action,unusual
400,22.85,7.593535900641194e-05,function-action,unusual
401,22.95,0.006170203746341768,taste,unusual
402,22.85,0.007730674374699202,function-action,unusual
403,22.85,0.0,function-action,unusual
404,23.35,0.0,part,unusual
405,23.4,0.0,shape,unusual
406,23.25,6.487339868196e-05,encyclopedic,unusual
407,23.45,0.0007576087286278323,color,unusual
408,23.45,0.0,color,unusual
409,22.85,0.0,function-action,unusual
410,22.85,0.0012521077291046923,function-action,unusual
411,23.0,0.0,temperature,unusual
412,23.45,0.0,color,unusual
413,23.45,0.0009794576752921366,color,unusual
414,23.45,0.0,color,unusual
415,22.85,0.0001974542379055136,function-action,unusual
416,23.0,0.0016349548835565442,temperature,unusual
417,23.45,0.0007414827331548135,color,unusual
418,23.0,0.0,temperature,unusual
419,23.35,0.0,part,unusual
420,23.45,0.0,color,unusual
421,23.45,0.00248505332207317,color,unusual
422,23.45,0.0004943378033275454,color,unusual
423,22.85,0.00011767062821595684,function-action,unusual
424,22.85,0.00018501376629895724,function-action,unusual
425,23.45,0.0014732069355624516,color,unusual
426,23.25,0.00013935703377274025,encyclopedic,unusual
427,23.45,0.0039507614999105605,color,unusual
428,22.85,0.0004402235873696357,function-action,unusual
429,23.0,0.0,temperature,unusual
430,23.45,0.0,color,unusual
431,22.85,0.0,function-action,unusual
432,22.85,0.0,function-action,unusual
433,23.25,0.0,encyclopedic,unusual
434,22.85,0.00014396118518515295,function-action,unusual
435,23.45,0.0,color,unusual
436,22.85,0.0,function-action,unusual
437,23.0,0.0012237407051666775,temperature,unusual
438,23.45,0.00044024742097437396,color,unusual
439,25.3,0.0,taxonomic,impossible
440,25.25,0.0006219992454191679,encyclopedic,impossible
441,24.85,0.0,function-action,impossible
442,25.45,0.004230811129420614,color,impossible
443,24.85,0.0,function-action,impossible
444,25.4,0.0005674680656855833,shape,impossible
445,25.35,0.00033542477848827777,part,impossible
446,24.95,0.0,taste,impossible
447,24.95,0.00043426215474750434,taste,impossible
448,25.3,0.0,taxonomic,impossible
449,25.35,0.0,part,impossible
450,25.3,0.0,taxonomic,impossible
451,25.35,0.0,part,impossible
452,25.45,0.00032935758540680984,color,impossible
453,24.85,0.0,function-action,impossible
454,25.35,0.00012737698567571835,part,impossible
455,24.85,0.0,function-action,impossible
456,24.95,0.0,taste,impossible
457,25.25,0.0006055576282492196,encyclopedic,impossible
458,24.85,0.0,function-action,impossible
459,25.45,0.0003949737158244072,color,impossible
460,25.45,0.0011524361093218096,color,impossible
461,25.35,0.0004555776107175326,part,impossible
462,25.0,0.00019855609865436152,temperature,impossible
463,25.45,0.004574288967173333,color,impossible
464,24.85,0.00040179642080235997,function-action,impossible
465,25.45,0.00024336102180022286,color,impossible
466,25.3,0.0,taxonomic,impossible
467,25.45,0.004102219840615314,color,impossible
468,24.95,0.0002616793130649086,taste,impossible
469,25.35,0.0,part,impossible
470,25.45,0.0,color,impossible
471,24.85,0.0,function-action,impossible
472,25.45,0.00012722001080241193,color,impossible
473,25.3,0.0,taxonomic,impossible
474,25.3,0.0,taxonomic,impossible
475,24.95,0.0,taste,impossible
476,25.3,0.0,taxonomic,impossible
477,25.3,0.0,taxonomic,impossible
478,25.3,0.0,taxonomic,impossible
479,24.85,0.00014853344037167292,function-action,impossible
480,24.85,0.0,function-action,impossible
481,24.85,0.002003784719363335,function-action,impossible
482,25.35,0.000301302333514775,part,impossible
483,24.95,0.0,taste,impossible
484,24.85,0.0,function-action,impossible
485,25.45,0.00315679810163076,color,impossible
486,25.3,0.0,taxonomic,impossible
487,24.85,0.0,function-action,impossible
488,24.95,0.004536427546438326,taste,impossible
489,25.4,0.0,shape,impossible
490,25.3,0.0,taxonomic,impossible
491,25.35,0.0,part,impossible
492,25.3,0.0,taxonomic,impossible
493,25.4,0.0,shape,impossible
494,24.85,0.0,function-action,impossible
495,25.3,0.0,taxonomic,impossible
496,25.35,0.000619809810454056,part,impossible
497,24.85,0.0,function-action,impossible
498,25.45,0.0028166374300998246,color,impossible
499,25.45,0.00031351450764640184,color,impossible
500,25.45,0.0,color,impossible
501,25.45,0.000641418279311529,color,impossible
502,24.85,0.00016251796626853252,function-action,impossible
503,24.85,0.0,function-action,impossible
504,25.35,0.0,part,impossible
505,24.8,0.0016773357042006234,material,impossible
506,24.85,2.4260103487665077e-05,function-action,impossible
507,24.85,0.00015755700054189754,function-action,impossible
508,25.45,0.0009207834138917969,color,impossible
509,25.0,0.014181162055512044,temperature,impossible
510,24.85,0.0006494982397827544,function-action,impossible
511,24.85,0.00102979142981845,function-action,impossible
512,25.45,0.0,color,impossible
513,24.8,0.0,material,impossible
514,24.85,0.0,function-action,impossible
515,25.35,0.0,part,impossible
516,25.3,0.0,taxonomic,impossible
517,24.95,0.0,taste,impossible
518,24.95,0.0,taste,impossible
519,25.45,0.0008957171534926805,color,impossible
520,24.85,0.0,function-action,impossible
521,25.3,0.0,taxonomic,impossible
